simulation_id,sampling_method,random_seed,model_version,parameter_set,topology,timestamp,feed_flow_m3h,feed_tds_mgL,feed_cod_mgL,feed_pH,temperature_C,stage1_pressure_bar,stage2_pressure_bar,feasible,failure_reason,failure_message,quality_flag,overall_recovery_pct,permeate_flow_m3h,concentrate_flow_m3h,permeate_tds_mgL,concentrate_tds_mgL,overall_tds_rejection_pct,stage1_recovery_pct,stage2_recovery_pct,average_flux_LMH,minimum_flux_LMH,maximum_flux_LMH,maximum_element_recovery_pct,maximum_polarization_modulus,feed_osmotic_pressure_bar,final_concentrate_osmotic_pressure_bar,stage1_pump_power_kW,stage2_booster_power_kW,total_power_kW,SEC_kWh_m3,water_balance_error,solute_balance_error,flux_decline_stage1_pct,flux_decline_stage2_pct,max_element_concentrate_tds_mgL,max_element_osmotic_pressure_bar,dataset_split
SIM_00001,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:36:53.469283+00:00,43.3808,3283.46,126.04,8.91,36.6,13.683,19.789,1,NONE,,PASS,47.8116474836411,20.74107517158338,22.639724828416625,9.239003707936494,6283.092916352008,99.71861987939745,24.035133881746535,31.299355632223453,37.37130661546555,29.549796081850992,49.327694213885486,12.440532177970763,1.3147324474704347,2.893841394653045,5.537534907625115,19.084162874999997,7.501649878422747,26.585812753422744,1.2817953039313523,0.0,0.0,10.531572217494553,11.87797779994825,6283.092916352008,5.537534907625115,ood
SIM_00002,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:36:53.469283+00:00,44.4395,3269.04,123.56,9.3,37.93,18.381,25.641,1,NONE,,PASS,64.21533805969231,28.53697515703697,15.90252484296302,8.584684134424787,9119.905398311736,99.73739433795778,34.58336065750534,45.2973092167669,51.41797325592247,43.38139172280529,64.83421418094504,19.894103458360377,1.4329874446919795,2.893503450436905,8.072240699922046,26.7991016015625,7.78250276274607,34.581604364308575,1.2118174464535374,1.2490009027033011e-14,0.0,11.067620984023302,17.682912063068976,9119.905398311736,8.072240699922046,ood
SIM_00003,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:36:53.469283+00:00,42.1666,3277.14,123.72,8.87,37.01,14.706,16.454,1,NONE,,PASS,45.89301832176736,19.351525463666356,22.815074536333654,9.804860650445061,6048.462050548755,99.70081044293362,27.24892752903526,25.62723841655122,34.867613448047486,32.48809209854253,37.69757661568594,10.518904122222882,1.2324882699480446,2.8920943869633216,5.337801603273805,20.047802505208335,2.3412251696716315,22.389027674879966,1.156964484113498,0.0,1.249000902703301e-13,10.882482536113255,12.29533586025491,6048.462050548755,5.337801603273805,ood
SIM_00004,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:36:53.469283+00:00,44.7244,3234.42,144.15,6.12,36.63,19.253,29.33,1,NONE,,PASS,70.38771525334701,31.48048332076793,13.243916679232068,8.532182306596996,10902.28065626729,99.73620672928695,36.54544169982506,53.3330850613275,56.721591568951226,46.1059079766607,75.77598383123414,25.048647279717713,1.5227757697033342,2.8508966186254376,9.609535885338927,28.325065100694445,10.373360800798293,38.69842590149274,1.2292830928667182,6.2450045135165055e-15,7.494005416219807e-14,11.148713512045227,21.067121952037045,10902.28065626729,9.609535885338927,ood
SIM_00005,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:36:53.469283+00:00,42.9305,3258.74,140.15,6.89,37.1,17.889,24.406,1,NONE,,PASS,63.453205044638224,27.240778191688417,15.689721808311592,8.787402876354578,8901.366358413045,99.73034354148062,34.5824321275358,44.13305761135583,49.082483228267414,41.84290532925315,61.0358668594756,19.156578315437585,1.4030721738214236,2.8766907793183387,7.8577850723228195,25.15570782552083,6.793814162924529,31.949521988445362,1.1728564347032369,6.2450045135165055e-15,2.4980018054066022e-14,11.321095740088237,17.686388016758205,8901.366358413045,7.8577850723228195,ood
SIM_00006,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:36:53.469283+00:00,44.003,3320.72,144.62,6.79,36.34,15.542,18.094,1,NONE,,PASS,48.29084631760964,21.24942110513777,22.753578894862244,9.384822339461557,6413.154642281842,99.71738591813036,28.080006744379176,28.101837414522983,38.28724523448247,34.987636670053064,42.66105732648163,10.930380023877607,1.2669395924380251,2.924223470213355,5.647419030532022,22.198214800347223,3.2987554793776788,25.496970279724902,1.1998901124680588,1.2490009027033011e-14,7.494005416219807e-14,10.629518488219606,12.404100871616167,6413.154642281842,5.647419030532022,ood
SIM_00007,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:36:53.469283+00:00,43.5226,3453.16,113.78,8.76,36.58,19.132,28.577,1,NONE,,PASS,69.31099469038772,30.165946975118683,13.356653024881314,9.266111977103696,11231.180453215837,99.73166282543804,36.4421864438783,51.71481900881658,54.35305761282646,44.53594317782642,71.89557369438315,23.77279377283049,1.490306924279944,3.043208117949905,9.897838365261594,27.38108016493056,9.504014523148422,36.88509468807898,1.2227394922659762,0.0,2.4980018054066022e-14,11.89797598348926,21.705006772723205,11231.180453215837,9.897838365261594,ood
SIM_00008,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:36:53.469283+00:00,44.3915,3337.1,145.61,9.35,37.56,12.079,21.345,1,NONE,,PASS,45.57532297780651,20.231569499692977,24.159930500307027,9.261644133784266,6123.8378583558315,99.72246429133726,19.480502777535886,32.40807642920854,36.453278377825185,24.51339516530319,55.1450096512927,13.065879526831761,1.3579070077436468,2.9502317437901207,5.413904540932272,17.056431983506943,12.058572337291691,29.115004320798633,1.4390877742451205,6.2450045135165055e-15,0.0,10.541797568913875,11.017187459049522,6123.8378583558315,5.413904540932272,ood
SIM_00009,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:36:53.469283+00:00,44.6853,3250.93,119.62,8.7,36.25,18.439,25.199,1,NONE,,PASS,63.667031428021126,28.449803994705523,16.23549600529447,8.516440467913734,8932.680049914183,99.73803064144987,34.659097172752936,44.39475581162604,51.26090809856851,43.74860528852183,63.678422796145924,19.367683009084917,1.4238177025521004,2.861933954720552,7.863823687838335,27.037321752604168,7.309582730283682,34.34690448288785,1.2072808828236488,6.2450045135165055e-15,2.4980018054066022e-14,10.946789244439287,17.241983700853332,8932.680049914183,7.863823687838335,ood
SIM_00010,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:36:53.469283+00:00,44.638,3402.65,136.24,9.53,37.92,13.788,17.363,1,NONE,,PASS,42.52627871189472,18.982880291415565,25.655119708584433,9.951452268983957,5912.994567789619,99.70753817556951,23.26903823362539,25.097092535999366,34.20338791246048,29.43994986475947,40.96590298078107,9.50425704596559,1.2550666547318454,3.0116679572362552,5.233560980742666,19.799975364583332,4.78683840350448,24.58681376808781,1.2952098622887305,0.0,0.0,10.522003695607278,11.118818888992415,5912.994567789619,5.233560980742666,ood
