simulation_id,sampling_method,random_seed,model_version,parameter_set,topology,timestamp,feed_flow_m3h,feed_tds_mgL,feed_cod_mgL,feed_pH,temperature_C,stage1_pressure_bar,stage2_pressure_bar,feasible,failure_reason,failure_message,quality_flag,overall_recovery_pct,permeate_flow_m3h,concentrate_flow_m3h,permeate_tds_mgL,concentrate_tds_mgL,overall_tds_rejection_pct,stage1_recovery_pct,stage2_recovery_pct,average_flux_LMH,minimum_flux_LMH,maximum_flux_LMH,maximum_element_recovery_pct,maximum_polarization_modulus,feed_osmotic_pressure_bar,final_concentrate_osmotic_pressure_bar,stage1_pump_power_kW,stage2_booster_power_kW,total_power_kW,SEC_kWh_m3,water_balance_error,solute_balance_error,flux_decline_stage1_pct,flux_decline_stage2_pct,max_element_concentrate_tds_mgL,max_element_osmotic_pressure_bar,dataset_split
SIM_01845,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.6827,1562.99,52.52,8.22,25.1,19.932,20.744,0,OTHER,Unexpected simulation failure: Applied pressure (19.36 bar) is less than feed osmotic pressure (20.06 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_01913,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.2614,1724.57,33.02,7.25,30.99,19.512,23.217,0,OTHER,Unexpected simulation failure: Applied pressure (21.83 bar) is less than feed osmotic pressure (22.79 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_01978,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,23.082,1662.27,51.65,9.46,32.69,18.323,27.518,0,OTHER,Unexpected simulation failure: Applied pressure (26.13 bar) is less than feed osmotic pressure (26.16 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_02012,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,21.4386,1854.77,48.99,8.55,30.24,19.983,27.111,0,OTHER,Unexpected simulation failure: Applied pressure (25.72 bar) is less than feed osmotic pressure (27.24 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_02035,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.7775,2033.1,96.79,7.39,21.48,19.778,22.162,0,OTHER,Unexpected simulation failure: Applied pressure (20.77 bar) is less than feed osmotic pressure (20.83 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_02120,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,21.3271,1755.33,94.44,6.56,34.91,19.295,24.156,0,OTHER,Unexpected simulation failure: Applied pressure (22.77 bar) is less than feed osmotic pressure (23.38 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_02148,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,22.7416,1711.53,32.31,8.0,28.43,19.784,26.886,0,OTHER,Unexpected simulation failure: Applied pressure (25.50 bar) is less than feed osmotic pressure (26.79 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_02196,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,23.1964,1502.46,30.35,9.27,29.07,19.53,27.37,0,OTHER,Unexpected simulation failure: Applied pressure (25.98 bar) is less than feed osmotic pressure (27.95 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_02284,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.4552,2108.79,38.3,7.38,32.66,18.231,26.625,0,OTHER,Unexpected simulation failure: Applied pressure (25.24 bar) is less than feed osmotic pressure (25.74 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_02431,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,21.2758,2024.65,41.13,7.33,23.18,18.406,27.985,0,OTHER,Unexpected simulation failure: Applied pressure (26.60 bar) is less than feed osmotic pressure (27.65 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_02667,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,21.4818,1607.5,30.2,7.38,26.5,19.708,27.508,0,OTHER,Unexpected simulation failure: Applied pressure (26.12 bar) is less than feed osmotic pressure (28.26 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_02742,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.6769,1981.31,41.58,7.43,29.05,18.567,27.063,0,OTHER,Unexpected simulation failure: Applied pressure (25.67 bar) is less than feed osmotic pressure (26.87 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_02750,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.6969,1915.62,81.59,8.33,21.31,19.919,25.676,0,OTHER,Unexpected simulation failure: Applied pressure (24.29 bar) is less than feed osmotic pressure (25.56 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_02890,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.5205,1690.54,51.25,7.55,27.87,19.419,24.933,0,OTHER,Unexpected simulation failure: Applied pressure (23.54 bar) is less than feed osmotic pressure (24.96 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_03018,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.6289,2059.8,62.93,7.09,27.83,18.656,27.552,0,OTHER,Unexpected simulation failure: Applied pressure (26.16 bar) is less than feed osmotic pressure (27.40 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_03048,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.0105,2103.38,76.04,7.76,34.89,18.678,27.573,0,OTHER,Unexpected simulation failure: Applied pressure (26.18 bar) is less than feed osmotic pressure (27.50 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_03113,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.0048,2034.95,36.22,7.19,23.41,19.706,24.567,0,OTHER,Unexpected simulation failure: Applied pressure (23.18 bar) is less than feed osmotic pressure (24.12 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_03116,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,21.445,1520.97,55.43,8.98,27.73,18.426,26.428,0,OTHER,Unexpected simulation failure: Applied pressure (25.04 bar) is less than feed osmotic pressure (27.12 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_03204,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,21.9943,1732.14,95.58,7.14,29.71,19.972,24.951,0,OTHER,Unexpected simulation failure: Applied pressure (23.56 bar) is less than feed osmotic pressure (24.52 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_03410,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,21.2095,1555.8,89.61,9.02,32.28,18.611,23.008,0,OTHER,Unexpected simulation failure: Applied pressure (21.62 bar) is less than feed osmotic pressure (22.23 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_03519,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.2977,1867.67,79.89,8.89,25.93,18.85,24.443,0,OTHER,Unexpected simulation failure: Applied pressure (23.05 bar) is less than feed osmotic pressure (23.98 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_03607,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,22.2472,1754.6,99.37,6.89,30.4,17.86,27.718,0,OTHER,Unexpected simulation failure: Applied pressure (26.33 bar) is less than feed osmotic pressure (26.65 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_03617,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,22.1427,1681.2,27.6,9.1,29.99,19.288,27.021,0,OTHER,Unexpected simulation failure: Applied pressure (25.63 bar) is less than feed osmotic pressure (27.23 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_03872,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.3217,1560.92,49.14,7.37,28.07,18.45,27.374,0,OTHER,Unexpected simulation failure: Applied pressure (25.99 bar) is less than feed osmotic pressure (28.39 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_04021,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,21.8995,1521.21,30.54,8.13,31.7,19.802,23.086,0,OTHER,Unexpected simulation failure: Applied pressure (21.70 bar) is less than feed osmotic pressure (22.59 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_04024,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.1867,1593.02,97.8,9.47,30.93,17.577,26.563,0,OTHER,Unexpected simulation failure: Applied pressure (25.17 bar) is less than feed osmotic pressure (27.35 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_04100,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.4716,1659.91,49.18,8.99,32.48,19.424,25.988,0,OTHER,Unexpected simulation failure: Applied pressure (24.60 bar) is less than feed osmotic pressure (26.27 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_04124,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.5419,2074.98,81.31,8.52,21.88,18.518,26.344,0,OTHER,Unexpected simulation failure: Applied pressure (24.96 bar) is less than feed osmotic pressure (25.80 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_04430,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.7178,1755.69,68.2,7.87,22.09,17.178,25.964,0,OTHER,Unexpected simulation failure: Applied pressure (24.58 bar) is less than feed osmotic pressure (25.37 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_04496,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.2327,1567.38,73.23,7.7,28.12,18.2,20.652,0,OTHER,Unexpected simulation failure: Applied pressure (19.26 bar) is less than feed osmotic pressure (19.46 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_04510,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.5265,1558.3,43.54,8.75,32.22,19.362,25.505,0,OTHER,Unexpected simulation failure: Applied pressure (24.12 bar) is less than feed osmotic pressure (25.83 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_04521,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,21.8395,1540.61,37.36,7.38,33.39,19.166,27.766,0,OTHER,Unexpected simulation failure: Applied pressure (26.38 bar) is less than feed osmotic pressure (28.77 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_04634,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.0638,1964.22,90.6,7.71,32.79,18.234,24.57,0,OTHER,Unexpected simulation failure: Applied pressure (23.18 bar) is less than feed osmotic pressure (23.65 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
SIM_04701,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T09:35:12.830813+00:00,20.463,1634.79,94.89,7.57,27.24,16.979,27.074,0,OTHER,Unexpected simulation failure: Applied pressure (25.69 bar) is less than feed osmotic pressure (27.64 bar). Reverse osmosis cannot proceed (effective driving force <= 0).,FAIL,,,,,,,,,,,,,,,,,,,,,,,,,,none
