Model,Dataset,Target,R2,RMSE,MAE,NRMSE_pct,MAPE,Max_Error
Linear Regression,Boundary Stress Set,overall_recovery_pct,0.35160869614535273,4.561458995731941,3.0334618736309467,16.868926428922055,3.3958853336809383,18.129971144051993
Linear Regression,Boundary Stress Set,permeate_tds_mgL,0.2651183656357665,3.669049963395666,2.4708569859182448,16.575490782577614,17.637852452893817,13.24789433353162
Linear Regression,Boundary Stress Set,concentrate_tds_mgL,-0.1633643997444585,7225.550688632328,5528.08237538943,25.307634289575326,26.268140882259605,21170.81923361148
Linear Regression,Boundary Stress Set,average_flux_LMH,0.4490615804123156,4.99051882087311,3.461883439058866,14.813116504760181,8.898394305685397,16.150667738442976
Linear Regression,Boundary Stress Set,SEC_kWh_m3,0.5547328743017111,0.06719735097346506,0.046962577010170536,10.706033825037723,6.303228566120489,0.28016296460427703
Linear Regression,Boundary Stress Set,maximum_element_recovery_pct,0.33447335728090233,5.93338434312331,4.89396861798597,16.494143299732894,11.248956252267094,17.89253383790618
Linear Regression,Boundary Stress Set,maximum_polarization_modulus,0.6887912652665892,0.042082291471265146,0.029965658351930678,11.026623038713279,2.1792360895172718,0.1804976224954744
Random Forest,Boundary Stress Set,overall_recovery_pct,-1.4444668815688115,8.856808678332174,8.10327607553932,32.75374263577042,9.331147935135057,20.624268593187722
Random Forest,Boundary Stress Set,permeate_tds_mgL,0.3915651542302653,3.338504516963067,2.2034941673604296,15.082201496460662,16.137666917356437,11.916289307556864
Random Forest,Boundary Stress Set,concentrate_tds_mgL,-0.31084859700380285,7669.8935059040905,5968.7203201017865,26.86395380116703,29.761608696020385,24224.135532844783
Random Forest,Boundary Stress Set,average_flux_LMH,0.7800704871266079,3.153086786085595,2.6349851590267397,9.359155548427367,5.969258143425637,8.116566748583459
Random Forest,Boundary Stress Set,SEC_kWh_m3,0.8948643151129753,0.03265253554079616,0.026199893429269178,5.202275758028798,3.407111187086627,0.13177523778239608
Random Forest,Boundary Stress Set,maximum_element_recovery_pct,-2.474968592324755,13.557986591724507,11.595872003956236,37.68968277926264,26.570229425887852,36.741824755751836
Random Forest,Boundary Stress Set,maximum_polarization_modulus,0.6645907816896208,0.04368788178357557,0.031328162759963404,11.447328245333168,2.2565276384798816,0.18677199899327568
XGBoost,Boundary Stress Set,overall_recovery_pct,-0.12996130749599466,6.021670265041084,5.3337703252505815,22.26899612059453,6.158765405152454,16.410069151416536
XGBoost,Boundary Stress Set,permeate_tds_mgL,0.48339784978427913,3.0762599653423623,2.004658286164742,13.897471882109148,14.488061169663496,11.546669544150252
XGBoost,Boundary Stress Set,concentrate_tds_mgL,-0.17848828402239048,7272.365566333812,5552.58446259819,25.471604325249466,27.13470425396265,23613.717328990686
XGBoost,Boundary Stress Set,average_flux_LMH,0.9022794285985608,2.1017795748479924,1.6548736961905475,6.23861101962574,4.010685559765607,6.492643384832839
XGBoost,Boundary Stress Set,SEC_kWh_m3,0.9384991809641732,0.02497366527429186,0.020251338160510012,3.978860792701746,2.6641170598444597,0.08631675018757556
XGBoost,Boundary Stress Set,maximum_element_recovery_pct,-1.7089342985695528,11.970684763175155,10.079043171898784,33.27716164360343,22.962990947499186,34.31874150124801
XGBoost,Boundary Stress Set,maximum_polarization_modulus,0.7540827637412649,0.037408300295376846,0.026081710695556527,9.801919321759458,1.8776203053857097,0.17564392557477837
ANN / MLP,Boundary Stress Set,overall_recovery_pct,0.9105710775706566,1.6940420384401687,1.2825668943552222,6.264809250874978,1.4563226830798182,7.080331234730366
ANN / MLP,Boundary Stress Set,permeate_tds_mgL,0.8683384669018773,1.5530104668198113,0.9191553813076216,7.015960789532144,6.28912947679158,6.793260212572726
ANN / MLP,Boundary Stress Set,concentrate_tds_mgL,0.635327603300326,4045.4283423971933,2684.90686974902,14.16919283330775,12.041352524808703,16137.490823995431
ANN / MLP,Boundary Stress Set,average_flux_LMH,0.8906601485102669,2.2232249528506793,1.322411553149073,6.599091482257018,3.3839637358176895,9.187730777834325
ANN / MLP,Boundary Stress Set,SEC_kWh_m3,0.9550041323464733,0.02136132325389744,0.013516126799389287,3.4033342980156784,1.8160832528368334,0.09561310379364019
ANN / MLP,Boundary Stress Set,maximum_element_recovery_pct,0.6808125085575022,4.109061960324724,3.1533849245095817,11.422731594933326,7.015737024689376,13.997057795387235
ANN / MLP,Boundary Stress Set,maximum_polarization_modulus,0.9022810958034925,0.023581030783391813,0.012561809731875597,6.1788255397238245,0.909525829534669,0.13929700395608102
