feed_flow_m3h,feed_tds_mgL,predicted_recovery_pct,predicted_permeate_tds_mgL,predicted_concentrate_tds_mgL,reconstructed_qp_m3h,reconstructed_qr_m3h,solute_in_kgh,solute_out_kgh,solute_error_kgh,solute_error_percent
38.2959,2911.17,64.19669342041016,8.440112113952637,8152.6005859375,24.584701515586854,13.71119848441315,111.48587520300002,111.98942243501163,0.5035472320116128,0.45166908462145944
27.255,2842.82,54.82646560668945,11.060229301452637,6210.84423828125,14.942953201103212,12.312046798896787,77.4810591,76.6334774112223,0.8475816887776944,1.093921144887518
36.9999,2201.37,60.399784088134766,6.555197238922119,5529.51220703125,22.347859712825773,14.652040287174223,81.450469863,81.16513025412885,0.2853396088711406,0.3503228518522765
26.9269,1583.35,71.30726623535156,6.140654563903809,5771.5673828125,19.200836271926878,7.726063728073122,42.634707115,44.70940311336155,2.0746959983615554,4.866213793296175
38.1843,1616.45,68.72317504882812,4.639570236206055,5546.60009765625,26.241463330169676,11.942836669830324,61.723011735,66.36388815139468,4.640876416394676,7.518875514888508
35.856,2120.49,56.46312713623047,6.633128643035889,4830.7109375,20.245418865966798,15.610581134033204,76.03228944,75.54449549267545,0.4877939473245476,0.6415615666939565
39.8229,2301.88,71.99452209472656,6.710275173187256,8646.3134765625,28.670306539260864,11.152593460739133,91.667537052,96.62120478438965,4.953667732389647,5.403949851493875
38.9649,2188.54,56.7626953125,6.153834342956543,5116.55859375,22.117527465820313,16.847372534179687,85.276242246,86.33667632196524,1.0604340759652473,1.2435281480933085
30.6693,2954.8,58.31782913208008,10.285231590270996,6819.9287109375,17.885669970005036,12.783630029994963,90.62164764,87.36740372935414,3.2542439106458687,3.5910226699624244
39.4237,2828.38,62.14228820800781,7.983430862426758,7241.48388671875,24.498789276260375,14.924910723739622,111.50520460599999,108.27408490707653,3.2311196989234645,2.8977299403561663
26.0542,1899.73,74.26786804199219,7.90322732925415,7937.4765625,19.34989887539673,6.704301124603273,49.495945366,53.368159694091204,3.8722143280912036,7.823296028508881
30.6377,1595.69,67.80422973632812,5.594636917114258,5218.15380859375,20.773656493927,9.864043506073,48.888271513,51.58831725487364,2.7000457418736374,5.522890579503638
35.3179,2629.14,78.26310729980469,8.890067100524902,12282.892578125,27.640885973037722,7.677014026962279,92.85570360599999,94.54166794495475,1.6859643389547614,1.8156820458854621
32.8191,2159.87,64.76396179199219,6.874832630157471,6290.93408203125,21.254949384475708,11.56415061552429,70.884989517,72.89543345652517,2.0104439395251745,2.836205455095708
32.938,2336.48,72.52272033691406,8.093070983886719,8286.1376953125,23.887533624572754,9.050466375427249,76.95897824000001,75.18673409883966,1.7722441411603427,2.302842607438888
38.5031,2224.27,63.71312713623047,6.463779449462891,6179.79931640625,24.531529054389956,13.971570945610047,85.641290237,86.50007097216805,0.8587807351680397,1.0027648261621083
34.142,2122.03,69.64437866210938,6.7870097160339355,6914.373046875,23.777983762817385,10.364016237182618,72.45034826000001,71.82205593457628,0.6282923254237289,0.867204010074594
31.3264,2040.02,69.7747802734375,7.278233528137207,6919.9765625,21.857926767578125,9.468473232421875,63.906482528,65.68069994647335,1.7742174184733557,2.776271433333856
34.3606,1574.93,62.66399002075195,4.949757099151611,4451.505859375,21.531722955070496,12.828877044929502,54.115539758,57.21439813325894,3.098858375258942,5.726374326333559
39.284,1645.8,69.63529205322266,4.985544204711914,5849.5625,27.355528130187984,11.928471869812014,64.6536072,69.91272392669353,5.259116726693534,8.134297457564802
35.8926,2346.78,58.53322982788086,7.2428202629089355,5741.841796875,21.009098049201967,14.883501950798035,84.23203582800001,85.61087870601895,1.3788428780189435,1.6369577969533002
25.064,2713.71,65.61521911621094,11.717283248901367,7782.91748046875,16.44579851928711,8.61820148071289,68.01642744,67.26745103394687,0.7489764060531314,1.1011698706372566
36.2445,1886.2,48.339561462402344,6.024419784545898,3829.282470703125,17.520432354240416,18.724067645759586,68.3643759,71.8052944554754,3.440918555475406,5.033204077674329
34.0836,2362.9,73.79035949707031,8.069989204406738,8897.51953125,25.150410969543454,8.933189030456543,80.53613844,79.68618741984595,0.8499510201540517,1.0553659967037918
37.8244,2691.73,75.63531494140625,8.402597427368164,10871.1064453125,28.608604064697264,9.215795935302733,101.813072212,100.4262851738689,1.3867870381310894,1.3620913385694284
35.0273,2951.34,48.80236053466797,9.765446662902832,5642.6240234375,17.094149231559754,17.933150768440242,103.377471582,101.35695934449608,2.0205122375039224,1.9544995699582697
31.4639,2436.78,63.32545471191406,8.413934707641602,6814.71728515625,19.92465774510193,11.53924225489807,76.670602242,78.80431842139866,2.133716179398661,2.7829652004869936
39.2707,2612.82,65.71219635009766,7.333539962768555,7617.46875,25.805639492057797,13.465060507942201,102.607270374,102.75892432458865,0.15165395058865272,0.1478003946853661
39.6589,1955.56,76.5462417602539,6.044769763946533,8399.09765625,30.35739747345734,9.301502526542663,77.555358484,78.3077315486476,0.7523730646475997,0.9701110011667569
38.6542,2727.11,68.97067260742188,7.730906963348389,8407.353515625,26.66006173101807,11.994138268981931,105.414255362,101.04506699949722,4.369188362502783,4.144779420486044
35.2468,2147.87,72.33858489990234,7.065365791320801,7513.5478515625,25.49703634249878,9.74976365750122,75.705544316,73.43546167041478,2.2700826455852194,2.9985685541203466
32.6018,2622.37,78.1485595703125,9.597172737121582,12366.3408203125,25.47783709399414,7.123962906005858,85.49398226599999,88.3418684904916,2.847886224491617,3.3310955332866627
33.2876,2095.76,67.59771728515625,6.878683567047119,6905.63623046875,22.50165773901367,10.785942260986328,69.762820576,74.63857544053188,4.875754864531885,6.989044915722998
36.5547,2541.36,55.19713592529297,7.759751796722412,5640.2470703125,20.17714744608307,16.377552553916928,92.898652392,92.53001246726643,0.36863992473357143,0.3968194535029843
34.8518,2803.96,68.83502197265625,8.791055679321289,8842.8828125,23.99024418786621,10.861555812133787,97.723053128,96.25836478054339,1.4646883474566152,1.4988155819672675
37.198,2882.01,60.77577590942383,8.557310104370117,7163.8681640625,22.607373122787475,14.590626877212525,107.20500798,104.71878568183436,2.486222298165643,2.3191288774769445
21.0246,2347.29,77.27664947509766,12.860393524169922,10881.119140625,16.24710644554138,4.777493554458619,49.350833333999994,52.193420742150984,2.8425874081509903,5.759958274488964
29.415,1644.25,66.11249542236328,5.9798359870910645,5032.68896484375,19.446990528488158,9.968009471511841,48.365613749999994,50.28218108253851,1.9165673325385129,3.9626651745704624
34.5788,1726.8,60.72161102294922,5.509431838989258,4532.63818359375,20.996804432403565,13.581995567596437,59.71067184,61.67795218194559,1.9672803419455889,3.294688003539953
38.9958,2171.95,47.38786697387695,6.378150939941406,3902.71044921875,18.47927782939911,20.516522170600894,84.69692780999999,80.18790908008927,4.509018729910721,5.323709898930184
34.0277,2945.81,73.55192565917969,9.700505256652832,11461.18359375,25.028028607528686,8.999671392471317,100.239138937,103.38967063560447,3.1505316986044676,3.143015524688981
33.6409,2738.3,77.7584457397461,9.709464073181152,12114.7294921875,26.158640972862244,7.482259027137758,92.11887647000002,90.8995304889812,1.2193459810188187,1.3236657108121788
36.1855,1730.33,69.55103302001953,5.485926628112793,5857.11083984375,25.167389053459164,11.018110946540833,62.612856214999994,64.67236350935384,2.0595072943538497,3.289272233935335
35.4996,1543.04,75.54241943359375,5.0937676429748535,7048.31787109375,26.81725672924805,8.68234327075195,54.777302784,61.33251611281232,6.5552133288123215,11.967024653734951
38.5945,2711.35,72.73094940185547,8.301863670349121,9790.5009765625,28.07014626689911,10.524353733100888,104.64319757499999,103.27173002912798,1.371467545872008,1.3106131861930617
39.1489,1512.8,76.25088500976562,4.986237049102783,6901.62646484375,29.85138272158813,9.297517278411867,59.22445591999999,64.31683737652271,5.092381456522723,8.598443628425189
20.8373,2793.05,75.43142700195312,15.873044967651367,11887.97265625,15.717872738677977,5.119427261322022,58.199620765,61.10910179903387,2.909481034033874,4.999140880628509
36.0012,2079.37,65.24168395996094,6.052722454071045,5924.4267578125,23.487789125793455,12.513410874206542,74.85981524399999,74.27695128328932,0.582863960710668,0.7786072658753784
29.5311,2806.66,69.1456527709961,10.200220108032227,9164.0068359375,20.419471865455627,9.111628134544372,82.88375712599999,83.7073056190025,0.8235484930025052,0.9936186794121141
31.3587,2378.85,67.68531799316406,8.393107414245605,7645.9912109375,21.22523581352234,10.13346418647766,74.597643495,77.6585237902337,3.0608802952337015,4.10318630968398
32.9625,2805.97,77.80514526367188,9.836106300354004,12140.619140625,25.64652100753784,7.31597899246216,92.49178612499999,89.0727764951609,3.4190096298390955,3.6965548759307145
36.1297,2434.55,74.89710235595703,8.027752876281738,9560.9853515625,27.060098389900208,9.069601610099792,87.95956113500002,86.93155992135377,1.0280012136462489,1.168720262335639
25.5819,1848.59,69.33015441894531,7.443737030029297,6362.3935546875,17.73597077330017,7.84592922669983,47.290444521,50.05091144489802,2.760466923898022,5.837261526844387
31.0454,2469.44,60.974143981933594,8.403421401977539,6386.30810546875,18.929666895767213,12.115733104232788,76.664752576,77.53387849518211,0.8691259191821104,1.1336708069598485
31.3321,2214.12,68.38707733154297,7.618925094604492,6687.263671875,21.427107456596374,9.904992543403626,69.373029252,66.40054833240168,2.9724809195983113,4.284778899881492
39.7939,2586.06,57.374290466308594,7.608259201049805,5856.3818359375,22.831467773872376,16.962432226127625,102.909413034,99.51218770717875,3.3972253268212427,3.301180355288628
31.5251,2621.37,65.57140350341797,9.016493797302246,7102.0712890625,20.671450525856017,10.853649474143982,82.63895138699999,77.2697763173139,5.369175069686094,6.497148111841511
32.4918,1979.91,64.10581970214844,6.626964092254639,5556.0830078125,20.829134725982666,11.662665274017332,64.330839738,64.93677028267443,0.6059305446744361,0.9418974587339562
38.7153,1577.07,67.41256713867188,4.629358768463135,4667.27734375,26.098977605438233,12.616322394561767,61.056738171,59.00469720440954,2.052040966590461,3.3608755201487566
38.1922,2194.63,72.60380554199219,6.487579822540283,8402.1435546875,27.728990620208737,10.463209379791262,83.81774788599999,88.09328129180602,4.27553340580603,5.100988172124545
24.962,2743.6,72.9326400756836,11.75155258178711,10402.8994140625,18.20544561569214,6.7565543843078615,68.4857432,70.50169789702534,2.015954697025336,2.943612207197798
39.598,2495.2,66.27459716796875,7.382275581359863,7260.361328125,26.243414986572265,13.354585013427734,98.8049296,97.15284870627526,1.6520808937247295,1.672063226412875
27.5029,1979.21,72.23593139648438,7.825839042663574,7540.7890625,19.8669759760437,7.635924023956299,54.434014709,57.736368118183634,3.302353409183631,6.066709256772175
30.747,2113.86,65.72410583496094,7.203066825866699,6180.04296875,20.208190821075437,10.538809178924563,64.99485342000001,65.27585451412477,0.28100109412476115,0.43234360774524405
38.0678,2549.06,64.89543914794922,7.527011394500732,7251.693359375,24.704265983963012,13.363534016036986,97.03710626799999,97.0942001734314,0.05709390543141524,0.058837188810774696
35.0173,1813.21,78.01837921142578,6.034241199493408,8240.666015625,27.3199299036026,7.6973700963974,63.493718533,63.59631120966177,0.10259267666177152,0.16157925387288566
34.7766,2357.64,62.57084274291992,7.462726593017578,6261.6787109375,21.76001169733429,13.016588302665713,81.990703224,81.66808288179806,0.3226203422019438,0.3934840530889698
39.63,1956.65,45.691383361816406,5.913191795349121,3613.017822265625,18.107495226287842,21.52250477371216,77.54203950000002,77.86826641942544,0.32622691942542303,0.4207097485815071
