Model,Dataset,Target,R2,RMSE,MAE,NRMSE_pct,MAPE,Max_Error
Linear Regression,Synthetic OOD Set,overall_recovery_pct,0.8234246069010476,3.2102574029387414,2.802038631646984,9.35681349137307,5.366202264018945,6.185096101137539
Linear Regression,Synthetic OOD Set,permeate_tds_mgL,0.18766504012627394,0.39510746849496503,0.3122485251148657,15.98942949108496,3.3714563043350765,1.515722729961439
Linear Regression,Synthetic OOD Set,concentrate_tds_mgL,0.7762470135660712,705.4031672604116,583.8570409546036,10.595897889948702,7.8135870279692545,2178.5194938530994
Linear Regression,Synthetic OOD Set,average_flux_LMH,0.9958737042966046,0.3835784060133096,0.29055238068259953,1.426460767714481,0.7099212723226116,1.2994817215857921
Linear Regression,Synthetic OOD Set,SEC_kWh_m3,0.8600127383897556,0.03786296803379636,0.028538567111014282,8.925572445760736,2.1656013316359397,0.10935225556533923
Linear Regression,Synthetic OOD Set,maximum_element_recovery_pct,0.641708656576915,2.62218242222305,1.9586630652546448,14.813559462169328,14.82647134034111,7.283415292708348
Linear Regression,Synthetic OOD Set,maximum_polarization_modulus,0.9872393464511249,0.010233533433076881,0.007687138369980861,2.9358475219477027,0.552251164634688,0.04366696792874292
Random Forest,Synthetic OOD Set,overall_recovery_pct,-0.22658435537473198,8.461034693313833,8.108509786694821,24.661051633087745,14.72865132067716,13.007370340089722
Random Forest,Synthetic OOD Set,permeate_tds_mgL,-0.9820332649453021,0.6171676256553483,0.5213676177111314,24.975883832786273,5.591644433147537,1.4249340374958344
Random Forest,Synthetic OOD Set,concentrate_tds_mgL,0.5990878695962871,944.2295408275811,727.9359247411979,14.18332134535015,8.573145219829371,2409.749750960582
Random Forest,Synthetic OOD Set,average_flux_LMH,0.9091299216169386,1.800049415210948,1.585332527602776,6.694067837220002,3.6081634958166227,3.8181397131639585
Random Forest,Synthetic OOD Set,SEC_kWh_m3,-2.6900821115601716,0.19439648630885614,0.1876361353587847,45.82577679072296,14.693672800385565,0.3235126606105656
Random Forest,Synthetic OOD Set,maximum_element_recovery_pct,-0.08392709829511413,4.560839412593734,4.382473080921979,25.76566193994404,27.063555953406166,6.777887178114494
Random Forest,Synthetic OOD Set,maximum_polarization_modulus,0.9502256332604474,0.02021119655148182,0.015784364107750703,5.798289681594874,1.1083880038335776,0.07083586202013237
XGBoost,Synthetic OOD Set,overall_recovery_pct,0.0752160941039437,7.346743828084242,7.160477678394277,21.413271006042194,12.804438503451218,10.954398781277689
XGBoost,Synthetic OOD Set,permeate_tds_mgL,-1.123843012616256,0.6388646717314944,0.5421924476780994,25.85393199958214,5.8155981123582485,1.4507832055127867
XGBoost,Synthetic OOD Set,concentrate_tds_mgL,0.7194769216034672,789.8366519793268,597.6866733063431,11.864177682409423,6.951983682531685,2150.5030099607284
XGBoost,Synthetic OOD Set,average_flux_LMH,0.9469718707328354,1.3750773527738251,1.2126575895624567,5.113671326525314,2.7514366299497937,2.9833532198893593
XGBoost,Synthetic OOD Set,SEC_kWh_m3,-2.1133287772811573,0.17855947022804883,0.17254237564721792,42.09246052698603,13.52194456364106,0.2943672026784412
XGBoost,Synthetic OOD Set,maximum_element_recovery_pct,0.011808776560377154,4.354770179102825,4.170339129669612,24.601509965706768,25.20640539689402,7.140862176531286
XGBoost,Synthetic OOD Set,maximum_polarization_modulus,0.9332992569182148,0.023396693726192,0.015684846449545934,6.71216112665375,1.0931030444227985,0.08072577035305994
ANN / MLP,Synthetic OOD Set,overall_recovery_pct,0.9790179705925927,1.10661998973625,0.9108888954097724,3.225422621970621,1.7507003783071966,2.1875126071770765
ANN / MLP,Synthetic OOD Set,permeate_tds_mgL,0.9487473586290558,0.09924435032032113,0.08116769102784094,4.016275743609568,0.8929412588534542,0.22724699932292758
ANN / MLP,Synthetic OOD Set,concentrate_tds_mgL,0.9657769629454301,275.8749444945351,219.15709374886725,4.143931978094213,3.112923688779502,695.3953093548744
ANN / MLP,Synthetic OOD Set,average_flux_LMH,0.9987412441729046,0.21185792934217645,0.17453147737922237,0.7878624547111631,0.3717442789785391,0.4905468091608469
ANN / MLP,Synthetic OOD Set,SEC_kWh_m3,0.9834236817487534,0.013029100495469603,0.010080449324570777,3.0713963118688694,0.7685972575905554,0.04052143568604483
ANN / MLP,Synthetic OOD Set,maximum_element_recovery_pct,0.9959231313979457,0.27971006954008315,0.20967241680852353,1.5801729552388413,1.5528723029195288,0.966773272931869
ANN / MLP,Synthetic OOD Set,maximum_polarization_modulus,0.9985970476970865,0.003393208974826173,0.002698762428313697,0.9734608505792411,0.19733141004486437,0.008318753097364073
