strategy_name,stage1_pressure_bar,stage2_pressure_bar,feed_flow_m3h,feed_tds_mgL,temperature_C,domain_proximity_status,domain_z_distance,mech_overall_recovery_pct,mech_SEC_kWh_m3,mech_max_element_rec_pct,mech_permeate_tds_mgL,mech_concentrate_tds_mgL,mech_average_flux_LMH,mech_max_polarization_modulus,surr_overall_recovery_pct,surr_SEC_kWh_m3,surr_max_element_rec_pct,surr_permeate_tds_mgL,surr_concentrate_tds_mgL,surr_average_flux_LMH,surr_max_polarization_modulus,err_recovery_abs_pct,err_recovery_rel_pct,err_sec_abs_kWh_m3,err_sec_rel_pct,err_max_elem_rec_abs_pct,err_max_elem_rec_rel_pct,err_permeate_tds_abs_mgL,err_permeate_tds_rel_pct,err_concentrate_tds_abs_mgL,err_concentrate_tds_rel_pct,err_polarization_abs,concentrate_tds_discrepancy_pct,mech_feasible,mech_elem_rec_safe,mech_cp_safe,mech_beta_safe,mech_verified_fully_feasible
A_MAX_VERIFIED_FEASIBLE_RECOVERY,20.0,20.25,30.0,2041.0,25.0,NEAR_BOUNDARY,2.3305110666150686,84.35334535399865,0.7937806187672927,29.98590820376962,9.048456800891234,12995.540388597921,45.59640289405333,1.3590295039358213,84.45221988412317,0.7887646574112485,29.965638329970872,9.008543590610499,13078.343466422417,45.71184769130486,1.356462845400587,0.09887453012451886,0.11721471117663487,0.005015961356044207,0.6319077636127952,0.02026987379874612,0.067597998569868,0.039913210280735356,0.441105164770241,82.80307782449563,0.6371653301708463,0.002566658535234412,0.7309727655208211,True,True,True,True,True
SURROGATE_MAX_REC_CANDIDATE_INFEASIBLE,19.988999992836032,20.28477469501017,30.0,2041.0,25.0,IN_DOMAIN,2.3273555566368307,84.38366298688155,0.7938528704657017,30.067794602527016,9.049337038047492,13020.747671000863,45.61279080371975,1.3587665216134122,84.4766109447774,0.7889719813794758,29.993543614638394,9.007767943689148,13098.882825688768,45.73037116836544,1.356210240182234,0.0929479578958591,0.110149233401149,0.0048808890862259,0.6148354774308079,0.0742509878886217,0.2469452411464237,0.0415690943583442,0.459360660162938,78.1351546879032,0.6000819358624219,0.0025562814311781,0.7092457919936735,True,False,True,True,False
B_MIN_ENERGY,15.802401322538088,15.802935765849227,30.0,2041.0,25.0,IN_DOMAIN,1.732879555453435,68.35190394778273,0.7640664227816135,19.83629869203013,7.575451034341139,6432.684075612081,36.94697510690958,1.261871809579605,68.15355366642862,0.764117315608013,19.417895308519597,7.579263923049463,6392.658197937082,36.97489467477853,1.2619759067931242,0.1983502813541093,0.2901898409525484,5.0892826399473456e-05,0.0066607856178519,0.4184033835105403,2.1092815247768333,0.0038128887083237,0.0503321675638731,40.02587767499881,0.6222266973555712,0.0001040972135188,0.371404856023001,True,True,True,True,True
C_MIN_STRESS,10.006,14.001,30.0,2041.0,25.0,NEAR_BOUNDARY,2.618032303258564,48.39687970297521,0.8856212561083939,12.650034063723206,7.729828070653308,3947.937629897273,26.16047551512174,1.206946497290029,48.605258839650666,0.8860313716997272,12.637822905624883,7.704313407877617,3963.9372677646847,26.35844287696799,1.2075808328878417,0.2083791366754539,0.4305631643079745,0.0004101155913333,0.0463082371278483,0.0122111580983226,0.0965306341216965,0.0255146627756905,0.3300805987206666,15.99963786741182,0.4052657201635715,0.0006343355978126,1.1023877090162368,True,True,True,True,True
D_BALANCED_KNEE,16.061504965888275,16.411082792053016,30.0,2041.0,25.0,IN_DOMAIN,1.642464683877199,70.16388152841515,0.7664729596914368,20.37682103403685,7.6006365471748865,6822.828178257676,37.92642244779197,1.2676853571210391,70.05647839575057,0.7664665169094282,19.97287928270641,7.58904245936229,6798.410056818833,37.94169063200665,1.2675002552182917,0.1074031326645723,0.1530746736425577,6.442782008564407e-06,0.0008405752514946,0.4039417513304464,1.9823590277193568,0.0115940878125959,0.1525410107513353,24.41812143884272,0.3578885588333589,0.0001851019027474,0.3787161839939528,True,True,True,True,True
PARETO_SAMPLE_32,10.391817802423413,14.001000025714958,30.0,2041.0,25.0,NEAR_BOUNDARY,2.5351834039126424,49.55985808018076,0.8677260758621945,12.807370148660354,7.680130706501701,4038.834270846925,26.789112475773383,1.2057630412632296,49.6281285059361,0.8699323247851035,12.757105468808843,7.673174975539183,4044.3046613877113,26.91703965019312,1.206206764933855,0.0682704257553439,0.1377534730726874,0.0022062489229089,0.2542563816255964,0.0502646798515105,0.3924668317388185,0.0069557309625176,0.0905678721929721,5.470390540786411,0.1354447886181597,0.0004437236706253,0.9797041382049864,True,True,True,True,True
PARETO_SAMPLE_63,10.837054880778885,14.001000776234196,30.0,2041.0,25.0,IN_DOMAIN,2.4461514613418758,50.89135671239763,0.8491427642084866,12.99060371404198,7.631817829055153,4148.182332048364,27.50884146616088,1.2043500520962702,50.8384662747125,0.8512142831850236,12.914271211143182,7.639266066490667,4143.720018338867,27.56227779586562,1.2043847916967163,0.0528904376851286,0.1039281345632588,0.002071518976537,0.243954145739903,0.0763325028987988,0.5875978097637489,0.007448237435514,0.0975945391038789,4.462313709496812,0.1075727475868528,3.473960044630964e-05,0.7717274016858965,True,True,True,True,True
PARETO_SAMPLE_95,11.36108877824193,14.001,30.0,2041.0,25.0,IN_DOMAIN,2.3514252266744977,52.443213612094944,0.8298822715333822,13.208116728096195,7.586788310896032,4283.345026269241,28.347683033564834,1.2026186457639674,52.37429207113996,0.8312595655349676,13.16968193632974,7.593663540271708,4277.149802206155,28.358518055258223,1.2028002908083166,0.0689215409549817,0.1314212768591404,0.0013772940015853,0.1659625767207354,0.0384347917664538,0.2909937317914192,0.0068752293756757,0.0906210783000449,6.195224063086243,0.1446351864043563,0.0001816450443492,0.9268164568139996,True,True,True,True,True
PARETO_SAMPLE_126,12.00254054750302,14.001000617383314,30.0,2041.0,25.0,IN_DOMAIN,2.252178405404589,54.31891930930448,0.8098020309863418,13.47618324376461,7.54825787891057,4458.95726873287,29.361578005029447,1.2003923856093308,54.254038357594766,0.8094369507469332,13.454544181343769,7.547181585006438,4452.645164900849,29.371638685090645,1.2006060110122978,0.0648809517097177,0.1194444818393212,0.0003650802394086,0.0450826529743266,0.0216390624208404,0.1605726341755763,0.0010762939041315,0.0142588385478808,6.312103832021421,0.1415600879668257,0.0002136254029669,0.7337383352849673,True,True,True,True,True
PARETO_SAMPLE_158,12.816727787367965,14.080315419257676,30.0,2041.0,25.0,IN_DOMAIN,2.1371069239456557,56.82762240612532,0.7901238975929105,14.066656534217934,7.514205939602147,4717.668956251317,30.71763373304071,1.1990302143346794,56.685316284640514,0.7912356050015833,14.082344836522871,7.511716658760889,4702.19746503965,30.731893040914613,1.201031503028927,0.1423061214848076,0.2504171659123798,0.0011117074086728,0.1407003904146703,0.0156883023049374,0.1115282957735889,0.0024892808412593,0.03312766327231,15.471491211666944,0.3279477927582411,0.0020012886942475,0.022379791516901,True,True,True,True,True
PARETO_SAMPLE_189,13.907236467593068,14.313333543536542,30.0,2041.0,25.0,IN_DOMAIN,2.0102341454646515,60.36636128885843,0.7722615134375921,16.079425005651178,7.502682470169717,5138.238551438435,32.6304655615451,1.220071804888286,60.25232083925805,0.7759160092728432,15.837495253509102,7.512637074720389,5123.502817788761,32.67982489746168,1.2205403092634093,0.114040449600381,0.1889139036469124,0.0036544958352511,0.4732199872273517,0.2419297521420755,1.5045920613271209,0.0099546045506722,0.1326806057733511,14.73573364967433,0.2867857049094987,0.0004685043751231,0.0678745210092226,True,True,True,True,True
PARETO_SAMPLE_221,14.873139056057102,15.165890538859292,30.0,2041.0,25.0,IN_DOMAIN,1.8067094761952636,64.7095686513741,0.7671950648527652,17.95172012108224,7.497006578149143,5769.690654293448,34.97814521695898,1.2412176934609578,64.50832209617555,0.7695304329168979,17.803112244224028,7.518595093093097,5736.978358638921,35.114313729985376,1.2408669559283854,0.2012465551985514,0.3109996858158286,0.0023353680641327,0.3044034263412384,0.148607876858211,0.8278197067237483,0.0215885149439536,0.2879617980711896,32.712295654526315,0.5669679297309266,0.0003507375325724,0.0624897698757312,True,True,True,True,True
PARETO_SAMPLE_252,15.83602499206704,15.83717609973934,30.0,2041.0,25.0,IN_DOMAIN,1.7294241970703292,68.50232116323602,0.7640852110855318,19.90606605326938,7.579168509163301,6463.359107180189,37.02828170985731,1.26262488028864,68.31174123894587,0.7641441932037474,19.47791644815377,7.581180678131284,6424.528336578677,37.048636465385705,1.262750222288782,0.190579924290148,0.278209440284527,5.898211821553368e-05,0.007719311584599,0.4281496051156104,2.150849916652873,0.0020121689679832,0.0265486770158303,38.830770601512086,0.600783121556324,0.0001253420001419,0.3574233649051668,True,True,True,True,True
PARETO_SAMPLE_284,16.553867000531962,16.636477184719325,30.0,2041.0,25.0,IN_DOMAIN,1.67805710666421,71.7672066456038,0.7656483728637947,21.422471771762524,7.685761568298793,7209.644890827073,38.79308467329936,1.278798513062382,71.68711255761379,0.7655074981509399,20.93965872951599,7.689737264225043,7189.261263211023,38.75910642310335,1.2785177958812306,0.0800940879900196,0.1116026270682863,0.0001408747128548,0.0183994008016921,0.4828130422465335,2.253769067316224,0.0039756959262495,0.0517280674259789,20.383627616050035,0.2827272067447371,0.0002807171811514,0.0162227715149378,True,True,True,True,True
PARETO_SAMPLE_315,17.46262505266247,17.640336538033633,30.0,2041.0,25.0,IN_DOMAIN,1.7190458011419731,75.64231893691186,0.7696233521073018,23.41757782137202,7.904157915957317,8354.740775154594,40.8877399658983,1.2995382460178997,75.70453368237399,0.7692470447934678,23.463422173058092,7.914780295907632,8376.081882440056,40.71342223852358,1.2995607160620772,0.0622147454621284,0.0822485962044838,0.0003763073138339,0.0488949968583481,0.0458443516860747,0.1957689733574192,0.0106223799503153,0.1343897738792685,21.34110728546148,0.2554370968507587,2.247004417754717e-05,0.4798782793329976,True,True,True,True,True
PARETO_SAMPLE_347,18.36127529584846,18.61759422293204,30.0,2041.0,25.0,IN_DOMAIN,1.867229411206088,79.13630153299384,0.7759221889886863,26.04223270341517,8.217879726716998,9751.371153763555,42.7763792070237,1.3203400871786448,79.24142671729811,0.7748647670709494,26.077692403112376,8.177931211043694,9800.864745978348,42.74134501943433,1.319297340453394,0.1051251843042706,0.13284065879733,0.0010574219177368,0.1362793760434981,0.0354596996972063,0.136162287239512,0.0399485156733039,0.4861170642766654,49.493592214790624,0.5075552087430135,0.0010427467252507,0.4237224722307061,True,True,True,True,True
PARETO_SAMPLE_378,19.11349850594619,19.402790286200688,30.0,2041.0,25.0,IN_DOMAIN,2.0563846784311286,81.73840994230656,0.7830944648667457,28.07753376046811,8.558633828891198,11138.155562409936,44.18292429313868,1.3379778527558188,81.74740111908847,0.7809839773755836,27.98612235093725,8.544282105662584,11143.702245938792,44.04739847222348,1.3357769368531636,0.0089911767819046,0.0109999408946796,0.0021104874911621,0.2695061178246598,0.0914114095308562,0.3255678020395058,0.0143517232286143,0.1676870808535765,5.546683528857102,0.0497989411063404,0.0022009159026552,0.0381223317315935,True,True,True,True,True
