scenario_name,feed_flow_m3h,feed_tds_mgL,temperature_C,n_pareto_solutions,knee_p1_bar,knee_p2_bar,knee_recovery_pct,knee_sec_kWh_m3,knee_max_element_rec_pct,knee_permeate_tds_mgL,max_recovery_pct,max_recovery_sec_kWh_m3,min_sec_kWh_m3,min_sec_recovery_pct,min_stress_elem_rec_pct
LOW_SALINITY,30.0,1500.0,25.0,100,14.945007049499871,14.947419637267005,69.03421315118595,0.7147806707741851,19.920337651845266,5.54457288994276,81.64577228131486,0.7255164912751209,0.7147806707741851,69.03421315118595,14.65413005717328
BASE_FEED,30.0,2041.0,25.0,100,15.994574928976142,16.321075959678563,69.7021578805835,0.7663741845802957,19.8367239124089,7.580267922987216,84.47492617655159,0.7889639581034309,0.7642326598494427,68.52026584480815,12.637822905624901
HIGH_SALINITY,30.0,3000.0,25.0,100,15.841080877394939,17.790593067273054,64.9949133410822,0.8724158086717052,17.07351052899,10.950889401489835,83.18329176593596,0.8933281117858843,0.8570281177074126,66.44520184178226,10.098249546678089
LOW_FLOW,20.0,2041.0,25.0,100,12.986866310332491,14.426633874194604,77.29135549304823,0.5810914174405007,24.26218460242106,11.186640477109401,84.75872451907827,0.5923406520546937,0.578467181027482,78.32719709582085,21.93629229450411
BASE_FLOW,30.0,2041.0,25.0,100,15.994574928976142,16.321075959678563,69.7021578805835,0.7663741845802957,19.8367239124089,7.580267922987216,84.47492617655159,0.7889639581034309,0.7642326598494427,68.52026584480815,12.637822905624901
HIGH_FLOW,40.0,2041.0,25.0,100,17.542517283742004,18.34941730520037,62.123552603063445,0.9699568232996397,16.453986888707238,5.920764000572575,77.51076265123942,0.998736512932514,0.9591137982848876,63.726971557976384,8.297837681466087
