seed,elapsed_seconds,n_evaluations,final_hypervolume,n_pareto_solutions
42,4.959174199997506,20100,2022.203708153842,100
101,5.244909500001086,20100,2023.1923299216885,100
2024,4.1263097999981255,20100,2023.665890529533,100
777,4.010340199998609,20100,2023.0223057275416,100
999,4.23124850000022,20100,2023.5038042493834,100
