strategy_name,p1_bar,p2_bar,initial_recovery_pct,recovery_24h_pct,recovery_72h_pct,recovery_168h_pct,initial_sec_kwh_m3,sec_168h_kwh_m3,dynamic_average_sec_kwh_m3,total_cumulative_permeate_m3,total_cumulative_electricity_kwh,permeability_decline_168h_pct,time_to_5pct_decline_hours,time_to_10pct_decline_hours,time_to_15pct_decline_hours,maximum_polarization_modulus,maximum_element_recovery_pct,mode_b_pressure_ceiling_status
Authoritative Baseline,13.0,18.0,69.3597375971332,53.784985622165735,41.96470662830141,32.66176481030349,0.7710267820516761,1.757733974218983,1.31242456987996,2164.700592632868,2841.006244205086,45.43905935017232,4.481285584186605,10.360481030159493,18.12179654708688,1.301862723066572,23.685849673521275,CEILING_EXCEEDED (P_max=41.00 bar >= 41.0 bar)
Strategy A (Max Recovery),19.08,19.73,85.07626505436792,66.51601746956747,51.270717668858126,39.90695625434865,0.756050953962437,1.6447458737735272,1.239090681022004,2656.721641038772,3291.9190274806283,55.72630941194473,2.52929012425718,5.628784946486734,9.552281663590968,1.3675124838324804,29.99317793421031,CEILING_EXCEEDED (P_max=41.00 bar >= 41.0 bar)
Strategy B (Min Energy),15.3,15.3,69.84489801801566,57.56852127197264,46.09747822573322,36.31010481787536,0.7224337472764203,1.3996817758460482,1.0852367982848787,2355.3221677720594,2556.08228828235,49.78355385622574,4.416492942711815,9.853670034534147,16.638343094758113,1.2726411427013355,20.636584737229526,CEILING_EXCEEDED (P_max=41.00 bar >= 41.0 bar)
Strategy C (Min Stress),10.0,14.0,51.67210703197994,43.56691263163823,35.470513767789576,28.102259202238415,0.8238917239458615,1.5835782123591156,1.2270867429140166,1802.667240863416,2212.0290731488863,38.33118281167048,8.076576447695121,18.354394810479643,31.49481331781059,1.222691002397409,13.988909698768587,FEASIBLE (P_max=31.48 bar < 41.0 bar)
Strategy D (Balanced Knee),15.05,15.8,70.224487298422,57.24308281632992,45.58416817441407,35.816333518156746,0.7268977502499162,1.4523085639615374,1.1174483010704737,2333.5297364077137,2607.5988394462297,49.32723008767166,4.37121609801324,9.7989033628403,16.624165162945093,1.2665754520375967,20.11103346998112,CEILING_EXCEEDED (P_max=41.00 bar >= 41.0 bar)
