Reuse_Demand_Pct_of_Nominal,Demand_Flow_Cap_m3_h,Case_E_Useful_Permeate_m3,Case_E_Net_Benefit_KES,Prediction_Value_D_minus_C_KES,Total_Integrated_E_minus_A_KES,Treatment_LCOW_KES_m3
100.0,21.0,109737.28041639569,11500123.527543593,424164.71583971754,4391948.136795572,23.203129839680475
75.0,15.75,109737.28041639569,11500123.527543593,424164.71583971754,4391948.136795572,23.203129839680475
50.0,10.5,84000.0,8205751.634244945,-474288.04067520704,1097576.2434969237,30.312480544703032
25.0,5.25,42000.0,2829751.6342449454,-474288.04067520704,-1298616.0745095448,60.624961089406064
