Random_Seed,Case_A_Permeate_m3,Case_E_Permeate_m3,Case_E_Average_SEC,Case_E_CIP_Count,Case_E_Net_Benefit_KES,Static_Opt_B_minus_A_KES,Prediction_Value_D_minus_C_KES,MPC_Value_E_minus_D_KES,Total_Integrated_E_minus_A_KES
42.0,65279.747515574454,109737.28041639569,0.9348070275161714,67.0,11500123.527543593,62203.43142201938,424164.71583971754,2782.4203809797764,4391948.136795572
101.0,65299.672142980016,109779.35225137018,0.9348513417578717,67.0,11504901.499117205,62168.88295745477,424255.7834311258,2738.7329304367304,4394571.8014692925
2024.0,65296.601711736126,109763.74397478696,0.9348317185685519,67.0,11503133.720590454,62173.69852523878,423126.3553349525,2689.844447799027,4393138.331667355
777.0,65287.599620601904,109755.38272776443,0.9348229586486466,67.0,11502184.088043667,62178.841969394125,423381.19872489385,2692.3940976988524,4393184.702642257
999.0,65284.99232963675,109750.62146360282,0.9348160095245122,67.0,11501646.281228848,62187.145249010995,423157.2970214579,2712.016543513164,4392920.863315092
788.6,65289.72266410586,109757.27616678402,0.9348258112031507,67.0,11502397.823304754,62182.40002462361,423617.07007042953,2723.08168008551,4393152.767177914
806.3530864329845,8.256821305740365,15.627589948239654,1.6909635257826604e-05,0.0,1774.320775104868,13.563957611188357,551.2935120175904,38.519221278291646,938.0565464844021
