Comparison,Mean_Savings_KES,Median_Savings_P50_KES,P10_KES,P90_KES,Probability_Positive_Benefit
Digital Twin (Case E) vs Fixed Baseline,2781928.4504809207,2780243.5293917055,2327233.2467920673,3275923.0838062656,1.0
Digital Twin (Case E) vs Fixed Strategy D,2769902.3531253627,2763752.10308209,2319831.0749513046,3265550.341167238,1.0
