Fouling_Rate_Multiplier,Prediction_Value_D_minus_C_KES,MPC_Value_E_minus_D_KES,Total_Integrated_E_minus_A_KES,Case_E_CIP_Cleanings,Case_C_CIP_Cleanings
0.5,201128.51336998865,3503.5205983091146,4055962.552392002,67,48
0.75,350214.0374883693,3082.2047325260937,4347114.356634515,67,48
1.0,424164.71583971754,2782.4203809797764,4391948.136795572,67,48
1.25,477242.22027433664,2545.598843473941,4390937.422015924,67,48
1.5,507556.07816464826,2355.5746048446745,4346418.529628256,67,48
2.0,526226.9747907091,2068.7035513930023,4184689.861377336,67,48
