strategy_name,stage1_pressure_bar,stage2_pressure_bar,feed_flow_m3h,feed_tds_mgL,temperature_C,domain_proximity_status,domain_z_distance,mech_overall_recovery_pct,mech_SEC_kWh_m3,mech_max_element_rec_pct,mech_permeate_tds_mgL,mech_concentrate_tds_mgL,mech_average_flux_LMH,mech_max_polarization_modulus,surr_overall_recovery_pct,surr_SEC_kWh_m3,surr_max_element_rec_pct,surr_permeate_tds_mgL,surr_concentrate_tds_mgL,surr_average_flux_LMH,surr_max_polarization_modulus,err_recovery_abs_pct,err_recovery_rel_pct,err_sec_abs_kWh_m3,err_sec_rel_pct,err_max_elem_rec_abs_pct,err_max_elem_rec_rel_pct,err_permeate_tds_abs_mgL,err_permeate_tds_rel_pct,err_concentrate_tds_abs_mgL,err_concentrate_tds_rel_pct,err_polarization_abs,concentrate_tds_discrepancy_pct,mech_feasible,mech_elem_rec_safe,mech_cp_safe,mech_beta_safe,mech_verified_fully_feasible
A_MAX_VERIFIED_FEASIBLE_RECOVERY,19.080000000000002,19.73,30.0,2041.0,25.0,IN_DOMAIN,2.1880638581194574,85.07626505436785,0.7560509539624378,29.993177934210248,9.240506531777614,13623.523397979628,45.987170299658295,1.3675124838324804,84.85252070649017,0.7530211371538434,30.13226469657353,9.224491162529622,13422.51570264492,46.240944683352026,1.3686102362972525,0.22374434787768394,0.26299267808089655,0.0030298168085943766,0.4007424093197962,0.13908676236328077,0.4637279939737172,0.01601536924799163,0.17331700586884086,201.00769533470884,1.475445737954385,0.0010977524647721726,0.22971855071256186,True,True,True,True,True
SURROGATE_MAX_REC_CANDIDATE_INFEASIBLE,19.18851390207067,19.633394515284635,30.0,2041.0,25.0,IN_DOMAIN,2.2218328668378,85.09851013095067,0.7566662518125762,30.28148836885452,9.276249004049346,13643.642804632,45.999194665378745,1.3703243912210867,84.9231057265591,0.752960970173766,29.99978759377296,9.263727386266288,13485.091280231763,46.28061392955587,1.3715212485284778,0.1754044043915712,0.2061192424187646,0.0037052816388102,0.489685066557986,0.2817007750815641,0.9302738744219138,0.012521617783058,0.1349857876561097,158.5515244002363,1.1620908482477148,0.001196857307391,0.5758297098781741,True,False,True,True,False
B_MIN_ENERGY,15.295248115518078,15.295766759765613,30.0,2041.0,25.0,IN_DOMAIN,1.7802067469215612,69.82419299638856,0.7224294527001995,20.62587279224647,7.638309427953382,6746.022109167573,37.7428070250749,1.272525609724766,69.95538383541927,0.7220440693724589,20.53582296384191,7.645727624144487,6775.428218960994,37.68732408738048,1.272603775334149,0.1311908390307081,0.1878873688343145,0.0003853833277406,0.0533454618025601,0.0900498284045596,0.4365867534992776,0.0074181961911055,0.0971182990303804,29.40610979342091,0.4359029561059278,7.81656093828964e-05,1.1657788865631111,True,True,True,True,True
C_MIN_STRESS,10.001,14.001,30.0,2041.0,25.0,NEAR_BOUNDARY,2.566383036989792,51.67760110959579,0.8238603200361644,13.991043300987716,7.526915093672853,4215.664614379401,27.93383843761935,1.2227102414685005,52.0189905035722,0.823136015240451,14.062137030664433,7.503754830272812,4245.631019162052,27.95290365103485,1.223246583289727,0.3413893939764065,0.660613857157188,0.0007243047957133,0.0879159704744123,0.0710937296767166,0.5081374429860975,0.0231602634000411,0.307699278015103,29.966404782650898,0.7108346494272132,0.0005363418212265,0.9622212870422234,True,True,True,True,True
D_BALANCED_KNEE,15.049873772780956,15.796530014702888,30.0,2041.0,25.0,IN_DOMAIN,1.6471579222709534,70.217130303702,0.7268763692458592,20.103237351925493,7.586434233787061,6835.04660345639,37.955205569568655,1.2665723958905162,70.3873353458894,0.7273292822074191,20.167276193716035,7.602805418078874,6874.249959036053,37.93516508151376,1.266937412148733,0.1702050421873906,0.2423981747064035,0.0004529129615599,0.062309490406163,0.0640388417905413,0.3185498965638371,0.0163711842918123,0.2157955079726577,39.203355579663366,0.5735638372946684,0.0003650162582167,1.07111589957496,True,True,True,True,True
PARETO_SAMPLE_33,10.395663601999974,14.001070875327942,30.0,2041.0,25.0,IN_DOMAIN,2.479723717453312,52.920503492487526,0.8074992253833349,14.176192024768214,7.494098441070309,4326.79666624666,28.605677563506767,1.2211896375323597,53.158336794600025,0.8074591181241227,14.21666903804527,7.465125929170382,4348.760321092951,28.55456960017805,1.2213442769165364,0.2378333021124987,0.4494161741039766,4.010725921210767e-05,0.0049668480106675,0.0404770132770551,0.2855281108377686,0.0289725118999273,0.3866043677935657,21.96365484629132,0.5076192976117826,0.0001546393841767,0.6774041840940601,True,True,True,True,True
PARETO_SAMPLE_66,10.931621875448112,14.001000000000635,30.0,2041.0,25.0,IN_DOMAIN,2.3718915923637427,54.58866405977864,0.7879299524460583,14.428333313683911,7.461862983796217,4485.502631687707,29.50738597825873,1.219033864296416,54.732475078849575,0.7871065739305977,14.438370048072963,7.429112122213124,4499.768579367169,29.46167955559814,1.2191676774552396,0.1438110190709309,0.2634448406970487,0.0008233785154606,0.104498948530203,0.0100367343890539,0.069562673462326,0.0327508615830929,0.4389099833944009,14.265947679461531,0.3180456874259786,0.0001338131588235,0.51567519840216,True,True,True,True,True
PARETO_SAMPLE_98,11.49915473859632,14.001018686022364,30.0,2041.0,25.0,IN_DOMAIN,2.271634166092107,56.32960217008741,0.7702523312378167,14.695546301549555,7.442561555661745,4664.046438544912,30.44843360545266,1.216637293582373,56.40945952608476,0.7698461157480391,14.653283516881178,7.418945711733816,4672.607842612816,30.41910897423056,1.2167723115489906,0.0798573559973476,0.1417680099288081,0.0004062154897775,0.0527379760246613,0.0422627846683774,0.2875890681513559,0.0236158439279288,0.3173080094979348,8.561404067903823,0.1835617243677103,0.0001350179666175,0.5708204572907859,True,True,True,True,True
PARETO_SAMPLE_131,12.167148942919107,14.002045392981866,30.0,2041.0,25.0,IN_DOMAIN,2.174388152654748,58.344694626554194,0.753081219831133,15.009742635563898,7.438583156734504,4889.317130468047,31.537672771110373,1.2136749422145685,58.394230397723696,0.7518432542607353,14.958606374053057,7.42913256406337,4895.142752274821,31.548017837360028,1.2141335651773593,0.0495357711695021,0.0849019289355524,0.0012379655703976,0.1643867271946147,0.0511362615108428,0.340687130701903,0.0094505926711336,0.1270482896003873,5.825621806773597,0.1191500091182655,0.0004586229627907,0.1983363190991883,True,True,True,True,True
PARETO_SAMPLE_163,13.23349068634149,14.071914460829069,30.0,2041.0,25.0,IN_DOMAIN,2.055906696280769,61.62291141449695,0.7334469861738488,16.209748444179787,7.466861140691511,5306.287625849448,33.30968184567402,1.2232675513505722,61.52195747273316,0.7343680637225394,16.13590702648365,7.443682804236489,5292.422293019965,33.36626239100631,1.2251473313803996,0.1009539417637839,0.1638253361395616,0.0009210775486905,0.1255820210667832,0.073841417696137,0.455537098249358,0.0231783364550226,0.3104160639697672,13.865332829483124,0.2613000614956962,0.0018797800298273,0.1715548684469739,True,True,True,True,True
PARETO_SAMPLE_196,13.927742218294966,14.91773255429183,30.0,2041.0,25.0,IN_DOMAIN,1.8164596692626016,65.41131994378546,0.7309000219066694,17.653733028287203,7.460069763455317,5886.666581638372,35.35747023988403,1.2396611291317712,65.42081464414346,0.7317946609276444,17.828914754976715,7.399428122042869,5888.395613977922,35.36846353389886,1.2407083530701073,0.0094947003580045,0.0145153780204471,0.000894639020975,0.1224023798277193,0.1751817266895123,0.9923211504830874,0.0606416414124479,0.8128830337420371,1.7290323395500309,0.0293720107223876,0.0010472239383361,0.6405059043749806,True,True,True,True,True
PARETO_SAMPLE_228,14.626984022090951,15.26595011410192,30.0,2041.0,25.0,IN_DOMAIN,1.741816723952656,68.0303849701929,0.7264408514034539,19.144371871230064,7.531846550045297,6368.159434821086,36.77318106496914,1.2563702213006058,68.21127439423101,0.727044711016257,19.20502247618235,7.484837425867861,6404.45459265598,36.76012615775753,1.2562498337050911,0.1808894240381136,0.2658950469225908,0.000603859612803,0.0831257784630969,0.0606506049522863,0.3168064502728939,0.0470091241774364,0.62413810298822,36.29515783489387,0.5699473797159036,0.0001203875955146,1.2314993169613235,True,True,True,True,True
PARETO_SAMPLE_261,15.364742534146814,15.804086278616268,30.0,2041.0,25.0,IN_DOMAIN,1.6747629988915609,71.02654252512636,0.7251865019151769,20.78278259692801,7.644149888192064,7025.6393334977965,38.392725689257496,1.2742161575580908,71.15593183451644,0.7252044054121571,20.79613950085372,7.678912903724521,7057.035041972446,38.35623024349551,1.274772547135627,0.1293893093900777,0.1821703616564258,1.7903496980276046e-05,0.002468812772024,0.0133569039257075,0.0642690836196394,0.0347630155324569,0.4547662727827392,31.39570847464984,0.4468733304449193,0.0005563895775362,1.0229981501696055,True,True,True,True,True
PARETO_SAMPLE_293,16.0626318303348,16.432334682692392,30.0,2041.0,25.0,IN_DOMAIN,1.6464247604390825,73.9485687689975,0.7265902224068042,22.3887933774294,7.798661480472541,7812.365406742128,39.97219933459324,1.2913035072554582,74.00544613402043,0.7262137476352025,22.434989900729988,7.8589410433997156,7829.270569951864,39.93971811890208,1.2928420653716324,0.0568773650229275,0.076914761123508,0.0003764747716016,0.0518139055538859,0.0461965233005869,0.2063377088787582,0.0602795629271746,0.7729475510395167,16.905163209735292,0.2163898170347487,0.0015385581161742,0.3765728058941879,True,True,True,True,True
