seed,elapsed_seconds,n_evaluations,final_hypervolume,n_pareto_solutions
42,13.00339619999977,20100,2002.4994479418829,100
101,14.684850699999515,20100,2002.8920793247207,100
2024,10.357601899999281,20100,2002.4342986610718,100
777,4.872367799998756,20100,2004.436093407715,100
999,5.550647200001549,20100,2002.5106684560328,100
