overall_recovery_pct,permeate_tds_mgL,concentrate_tds_mgL,average_flux_LMH,SEC_kWh_m3,maximum_element_recovery_pct,maximum_polarization_modulus,permeate_flow_m3h,concentrate_flow_m3h,diagnostic_concentrate_tds_mgL,concentrate_tds_discrepancy_pct,solute_balance_error_kg_s,stage1_pressure_bar,stage2_pressure_bar,feed_flow_m3h,feed_tds_mgL,temperature_C,seed
52.018990503572205,7.503754830272812,4245.631019162053,27.95290365103486,0.823136015240451,14.062137030664429,1.223246583289727,15.605697151071661,14.394302848928339,4204.778653726407,0.9622212870422447,0.0,10.001000000000001,14.001,30.0,2041.0,25.0,777
52.01899050357239,7.503754830272802,4245.63101916207,27.952903651034955,0.82313601524045,14.062137030664509,1.223246583289728,15.605697151071718,14.394302848928282,4204.778653726426,0.9622212870421981,0.0,10.001000000000033,14.001000000000044,30.0,2041.0,25.0,101
52.01899050357517,7.503754830272706,4245.631019162316,27.952903651036358,0.8231360152404178,14.062137030665049,1.2232465832897272,15.605697151072551,14.394302848927449,4204.778653726702,0.9622212870414353,0.0,10.00100000000087,14.001000000000198,30.0,2041.0,25.0,2024
52.01899050369093,7.503754830268875,4245.631019172544,27.95290365109451,0.823136015239006,14.062137030684731,1.2232465832896489,15.605697151107279,14.394302848892721,4204.778653738187,0.9622212870095123,0.0,10.001000000037058,14.001000000004527,30.0,2041.0,25.0,999
52.018990504605085,7.503754830242022,4245.631019253321,27.952903651549995,0.8231360152264535,14.06213703078997,1.2232465832880417,15.605697151381527,14.394302848618473,4204.778653828884,0.9622212867575565,0.0,10.001000000349626,14.001000000000026,30.0,2041.0,25.0,42
52.01899072730257,7.503754813972969,4245.631038941664,27.952903773255493,0.823136016175111,14.062137199849012,1.22324658572112,15.605697218190771,14.394302781809229,4204.778675924479,0.9622212255959106,0.0,10.001000000000033,14.001000109445464,30.0,2041.0,25.0,2024
52.01905549831415,7.503750095149369,4245.636765241197,27.95293915664844,0.8231362867394856,14.062186178727147,1.2232472896039495,15.605716649494244,14.394283350505756,4204.785102372468,0.9622034367890291,0.0,10.001000000471025,14.001031793762538,30.0,2041.0,25.0,42
52.019111536140805,7.503746012461046,4245.6417194666965,27.952969769362113,0.823136520869209,14.06222855534707,1.2232478986134983,15.605733460842242,14.394266539157758,4204.790662331627,0.9621880468095929,0.0,10.001000000000257,14.001059207298784,30.0,2041.0,25.0,101
52.02032565657382,7.503657557877804,4245.749060990335,27.953633025649342,0.8231415930097367,14.063146671753547,1.2232610930906371,15.606097696972146,14.393902303027854,4204.911124890899,0.9618546813011667,0.0,10.001000000004444,14.001653136617005,30.0,2041.0,25.0,999
52.06606788433942,7.502373648949141,4249.794913815256,27.97601434788992,0.8225081692765085,14.067768849536094,1.2231709960926165,15.619820365301825,14.380179634698175,4209.3753551923855,0.9510943337871333,0.0,10.0166823654186,14.0010016661245,30.0,2041.0,25.0,42
52.09481984374388,7.501531900138084,4252.34198854186,27.990108090230265,0.8221253295991329,14.071198594785109,1.223124848698004,15.628445953123164,14.371554046876836,4212.177559859332,0.9445248945346494,0.0,10.026244380416623,14.001000000000078,30.0,2041.0,25.0,2024
52.14984031820512,7.499766706938248,4257.224839341815,28.017701402912728,0.8214311456423193,14.079728530941258,1.2230713506651791,15.644952095461536,14.355047904538464,4217.63660957941,0.9299069524485184,0.0,10.043886536723333,14.002421380283495,30.0,2041.0,25.0,101
52.18447726048655,7.498814021034995,4260.304324601671,28.034983368846866,0.8209290336592631,14.082703079428672,1.2229897694832954,15.655343178145966,14.344656821854034,4221.09118040658,0.9204305891635518,0.0,10.056343297233141,14.00145306704557,30.0,2041.0,25.0,999
52.23734007334218,7.4971328732690266,4265.013088327355,28.061568457970083,0.8202600686160442,14.090618570524624,1.2229320789256592,15.671202022002657,14.328797977997343,4226.15777921279,0.9110243816345049,0.0,10.073520782382323,14.002584862878185,30.0,2041.0,25.0,777
52.30501301562963,7.495036086459948,4271.056245527441,28.095358249048438,0.819290433048406,14.09682745918262,1.22278055088424,15.69150390468889,14.30849609531111,4232.536406826841,0.901880857713767,0.0,10.097642708887582,14.001000109445464,30.0,2041.0,25.0,2024
52.35512978494237,7.493304777071994,4275.542910210273,28.120543574467728,0.8186084674196087,14.102964255120535,1.2226982462702163,15.70653893548271,14.29346106451729,4237.296478562974,0.8945397684107866,0.0,10.11472521120045,14.001003323424746,30.0,2041.0,25.0,42
52.35580785338033,7.493084901794831,4275.603894379507,28.121080311739977,0.818705239675776,14.106710345294367,1.2227698948149568,15.7067423560141,14.2932576439859,4237.411679627679,0.8932589569869553,0.0,10.112940538939808,14.00384108195175,30.0,2041.0,25.0,777
52.48893754798559,7.488362833404721,4287.568689852858,28.19028733110993,0.8167471433359759,14.119701225282181,1.222473445605003,15.746681264395678,14.253318735604322,4250.352964266525,0.8679913554366925,0.0,10.161347637130039,14.001004408402283,30.0,2041.0,25.0,42
52.54078779810212,7.4862900411238575,4292.2470680077595,28.217691606275373,0.8161266012602616,14.129894939252882,1.2224584290412455,15.762236339430636,14.237763660569364,4255.485878255682,0.8564555853757045,0.0,10.177529908049477,14.00384108195175,30.0,2041.0,25.0,777
52.63872202378657,7.483027255302368,4301.11077472868,28.269382522060432,0.8146475747978363,14.138802746354743,1.2222228926135283,15.79161660713597,14.20838339286403,4265.105694654838,0.8371112012597033,0.0,10.214036372565818,14.001163081315436,30.0,2041.0,25.0,101
