strategy_name,p1_bar,p2_bar,initial_recovery_pct,recovery_24h_pct,recovery_72h_pct,recovery_168h_pct,initial_sec_kwh_m3,sec_168h_kwh_m3,dynamic_average_sec_kwh_m3,total_cumulative_permeate_m3,total_cumulative_electricity_kwh,permeability_decline_168h_pct,time_to_5pct_decline_hours,time_to_10pct_decline_hours,time_to_15pct_decline_hours,maximum_polarization_modulus,maximum_element_recovery_pct,mode_b_pressure_ceiling_status
Authoritative Baseline,13.0,18.0,65.45429789069381,51.51722690507343,40.48708227731731,31.596248959995147,0.8243960173252987,1.8203129195076544,1.3681542171630197,2082.724541945583,2849.488365251768,43.86825851302226,5.108336580847531,11.793096834415586,20.566519717788257,1.2819988758574388,21.244115582245836,CEILING_EXCEEDED (P_max=41.00 bar >= 41.0 bar)
Strategy A (Max Recovery),20.0,20.25,84.35334535399878,65.54670557341093,50.71318749972076,39.55009102163819,0.7937806187672916,1.713641317995355,1.2968487072367847,2626.1674924403383,3405.741917558521,55.17431384297253,2.6157935861942514,5.852637935551472,9.981263669685042,1.3590295039358213,29.98590820376962,CEILING_EXCEEDED (P_max=41.00 bar >= 41.0 bar)
Strategy B (Min Energy),15.8,15.8,68.34019356837709,56.30718966981878,45.179666798453326,35.63937773527055,0.7640619719508248,1.474928686523564,1.1457834383850616,2307.689058997418,2644.111904741649,48.87696763856446,4.653235414544776,10.405192227743916,17.592539846832395,1.2618180424366696,19.83132034494196,CEILING_EXCEEDED (P_max=41.00 bar >= 41.0 bar)
Strategy C (Min Stress),10.0,14.0,48.37652615001182,41.31842911206307,33.95092218198326,27.040334022406736,0.8858996026070198,1.6488402901242147,1.2889452277364932,1721.2575490546233,2218.6067035593696,36.74314980648445,9.06497207650298,20.555067349671678,35.184702348156016,1.2069434116402709,12.646118593397906,FEASIBLE (P_max=29.46 bar < 41.0 bar)
Strategy D (Balanced Knee),16.06,16.41,70.15815788579322,57.14224491103811,45.559663908634754,35.84205654037419,0.7664744570598155,1.5184002535915757,1.1721248291014734,2332.101587693782,2733.514174922849,49.34421022762354,4.385210797297005,9.83365421588797,16.685482601156497,1.2676515209666264,20.37366221220801,CEILING_EXCEEDED (P_max=41.00 bar >= 41.0 bar)
