Model,Target,Mechanistic_Value,ML_Prediction,Absolute_Error,Relative_Error_pct
Linear Regression,overall_recovery_pct,65.45429789909629,65.69939450983371,0.24509661073741995,0.3744545715168445
Linear Regression,permeate_tds_mgL,7.179466072042755,7.760516836774295,0.5810507647315397,8.09323087400864
Linear Regression,concentrate_tds_mgL,5894.512506771054,6423.43532894858,528.9228221775256,8.973139365977246
Linear Regression,average_flux_LMH,35.38070156707908,35.013175548705604,0.367526018373475,1.0387753834577702
Linear Regression,SEC_kWh_m3,0.8243960171889045,0.8451804504315376,0.020784433242633016,2.5211709917650427
Linear Regression,maximum_element_recovery_pct,21.244115582245836,21.754750648224444,0.5106350659786081,2.403654150730364
Linear Regression,maximum_polarization_modulus,1.2819988758574388,1.2872181351030467,0.0052192592456079545,0.4071188628864561
Random Forest,overall_recovery_pct,65.45429789909629,63.57178220324974,1.8825156958465499,2.876076524033025
Random Forest,permeate_tds_mgL,7.179466072042755,7.295303721350481,0.11583764930772578,1.6134577160104442
Random Forest,concentrate_tds_mgL,5894.512506771054,5395.022060826104,499.4904459449499,8.473821123819533
Random Forest,average_flux_LMH,35.38070156707908,35.10847743866509,0.27222412841398835,0.7694141618358596
Random Forest,SEC_kWh_m3,0.8243960171889045,0.8196079317551144,0.004788085433790168,0.5807991952844445
Random Forest,maximum_element_recovery_pct,21.244115582245836,20.39385738299065,0.8502581992551868,4.002323353793866
Random Forest,maximum_polarization_modulus,1.2819988758574388,1.281408498044487,0.0005903778129516812,0.04605135184356687
XGBoost,overall_recovery_pct,65.45429789909629,63.97815704345703,1.4761408556392581,2.255223725590736
XGBoost,permeate_tds_mgL,7.179466072042755,7.2876176834106445,0.10815161136788909,1.506401872822236
XGBoost,concentrate_tds_mgL,5894.512506771054,5953.5537109375,59.04120416644582,1.0016299753139029
XGBoost,average_flux_LMH,35.38070156707908,35.225135803222656,0.15556576385642273,0.439691009409415
XGBoost,SEC_kWh_m3,0.8243960171889045,0.8242230415344238,0.0001729756544807115,0.02098210700611322
XGBoost,maximum_element_recovery_pct,21.244115582245836,20.225566864013672,1.0185487182321644,4.794498101316053
XGBoost,maximum_polarization_modulus,1.2819988758574388,1.2805677652359009,0.00143111062153789,0.11163119160933124
ANN / MLP,overall_recovery_pct,65.45429789909629,65.4944004436695,0.04010254457321594,0.061268008152860536
ANN / MLP,permeate_tds_mgL,7.179466072042755,7.199913491289043,0.020447419246287346,0.28480417681630593
ANN / MLP,concentrate_tds_mgL,5894.512506771054,5877.66818760424,16.844319166813875,0.2857627182479421
ANN / MLP,average_flux_LMH,35.38070156707908,35.174696931917545,0.2060046351615341,0.582251414011577
ANN / MLP,SEC_kWh_m3,0.8243960171889045,0.8273683192686376,0.0029723020797330912,0.3605429936292389
ANN / MLP,maximum_element_recovery_pct,21.244115582245836,21.27170012475123,0.027584542505394438,0.12984556781665899
ANN / MLP,maximum_polarization_modulus,1.2819988758574388,1.282843219227019,0.0008443433695801694,0.06586147503565068
