feed_flow_m3_s,feed_flow_m3_hr,feed_pressure_pa,feed_pressure_bar,feed_pressure_psi,feed_tds_kg_m3,feed_tds_mg_l,temperature_k,temperature_celsius,permeate_flow_m3_s,permeate_flow_m3_hr,concentrate_flow_m3_s,concentrate_flow_m3_hr,permeate_tds_kg_m3,permeate_tds_mg_l,concentrate_tds_kg_m3,concentrate_tds_mg_l,membrane_surface_tds_kg_m3,membrane_surface_tds_mg_l,bulk_avg_tds_kg_m3,bulk_avg_tds_mg_l,water_flux_m_s,water_flux_lmh,salt_flux_kg_m2_s,salt_flux_g_m2_h,polarization_modulus,mass_transfer_coefficient_m_s,water_recovery_fraction,water_recovery_percent,salt_rejection_fraction,salt_rejection_percent,salt_passage_percent,feed_osmotic_pressure_pa,feed_osmotic_pressure_bar,membrane_surface_osmotic_pressure_pa,membrane_surface_osmotic_pressure_bar,permeate_osmotic_pressure_pa,permeate_osmotic_pressure_bar,concentrate_osmotic_pressure_pa,concentrate_osmotic_pressure_bar,bulk_avg_osmotic_pressure_bar,transmembrane_pressure_pa,transmembrane_pressure_bar,effective_driving_pressure_pa,effective_driving_pressure_bar,pressure_drop_element_bar,hydraulic_power_kw,pump_electrical_power_kw,sec_kwh_per_m3,water_mass_balance_error_m3_s,water_mass_balance_error_percent,solute_mass_balance_error_kg_s,solute_mass_balance_error_percent,converged,solver_message,iterations
0.008333333333333333,30.0,1000000.0,10.0,145.03773773020922,2.0,2000.0,298.15,25.0,0.0025518703017052514,9.186733086138904,0.005781463031628082,20.813266913861096,0.00016639359538571217,0.16639359538571216,2.882703212079336,2882.703212079336,9.697713873800357,9697.713873800356,2.4413516060396683,2441.3516060396682,6.896946761365545e-05,248.29008340915962,1.1476077688074563e-08,0.04131387967706843,3.9722725107719628,5e-05,0.3062244362046302,30.62244362046302,0.9999168032023071,99.99168032023071,0.008319679769286381,169675.36136908885,1.6967536136908885,822731.552995551,8.22731552995551,14.116446713286333,0.00014116446713286333,244561.85461469725,2.4456185461469726,2.0711860799189306,898675.0,8.98675,75957.5634511623,0.759575634511623,0.0,7.488958333333334,9.361197916666667,1.018990954552821,0.0,0.0,0.0,0.0,True,`gtol` termination condition is satisfied.,7
0.008333333333333333,30.0,1100000.0,11.0,159.54151150323014,2.0,2000.0,298.15,25.0,0.0027212743438453403,9.796587637843226,0.005612058989487993,20.203412362156776,0.00017404481854653352,0.17404481854653353,2.9697109517531617,2969.7109517531617,10.81700734214095,10817.00734214095,2.484855475876581,2484.855475876581,7.354795523906326e-05,264.77263886062775,1.2800640524051333e-08,0.046082305886584796,4.3531736341024185,5e-05,0.32655292126144086,32.65529212614409,0.9999129775907267,99.99129775907267,0.00870224092732741,169675.36136908885,1.6967536136908885,917689.8148549265,9.176898148549265,14.765558740650286,0.00014765558740650287,251943.38945022924,2.5194338945022925,2.1080937540965903,998675.0,9.98675,80999.95070381416,0.8099995070381416,0.0,8.322291666666667,10.402864583333333,1.061886543345779,0.0,0.0,0.0,0.0,True,`gtol` termination condition is satisfied.,7
0.008333333333333333,30.0,1200000.0,12.0,174.04528527625106,2.0,2000.0,298.15,25.0,0.0028737447050847945,10.34548093830526,0.005459588628248539,19.65451906169474,0.00018195515561757016,0.18195515561757017,3.0526372788911433,3052.6372788911435,11.942242281080278,11942.242281080278,2.526318639445572,2526.318639445572,7.766877581310255e-05,279.6075929271692,1.4132234189699243e-08,0.05087604308291728,4.727132236850824,5e-05,0.34484936461017535,34.48493646101753,0.9999090224221913,99.99090224221912,0.009097757780873739,169675.36136908885,1.6967536136908885,1013152.1372997541,10.131521372997542,15.436653391190008,0.0001543665339119001,258978.66671230344,2.5897866671230343,2.143270140406962,1098675.0,10.98675,85538.29935363715,0.8553829935363715,0.0,9.155625,11.44453125,1.1062348206186712,0.0,0.0,0.0,0.0,True,`gtol` termination condition is satisfied.,7
0.008333333333333333,30.0,1300000.0,13.0,188.549059049272,2.0,2000.0,298.15,25.0,0.0030121803579218937,10.843849288518816,0.00532115297541144,19.156150711481185,0.00019002090458649143,0.19002090458649143,3.1320456988255687,3132.0456988255687,13.072401477358042,13072.401477358042,2.5660228494127844,2566.0228494127846,8.141027994383497e-05,293.0770077978059,1.546965503756702e-08,0.055690758135241276,5.094421306633947,5e-05,0.36146164295062727,36.146164295062725,0.9999049895477068,99.99049895477069,0.009501045229320937,169675.36136908885,1.6967536136908885,1109032.2223162684,11.090322223162683,16.120932826697043,0.00016120932826697043,265715.4928863644,2.657154928863644,2.1769542712772663,1198675.0,11.98675,89658.8986165584,0.896588986165584,0.0,9.988958333333334,12.486197916666667,1.151454394509773,0.0,0.0,0.0,0.0,True,`gtol` termination condition is satisfied.,7
0.008333333333333333,30.0,1400000.0,14.0,203.0528328222929,2.0,2000.0,298.15,25.0,0.003138808288455433,11.29970983843956,0.0051945250448779,18.700290161560442,0.00019817814426845056,0.19817814426845057,3.2083866146527726,3208.3866146527726,14.206703525095316,14206.703525095316,2.604193307326386,2604.1933073263863,8.483265644474144e-05,305.39756320106915,1.681197842758187e-08,0.06052312233929473,5.455318345657194,5e-05,0.37665699461465196,37.665699461465195,0.9999009109278658,99.99009109278659,0.009908907213418416,169675.36136908885,1.6967536136908885,1205263.7772420282,12.052637772420281,16.812974122102386,0.00016812974122102387,272192.0791264784,2.7219207912647843,2.209337202477836,1298675.0,12.98675,93428.03573209397,0.9342803573209396,0.0,10.822291666666667,13.527864583333333,1.1971868991993047,0.0,0.0,0.0,0.0,True,`gtol` termination condition is satisfied.,7
0.008333333333333333,30.0,1500000.0,15.0,217.55660659531384,2.0,2000.0,298.15,25.0,0.0032553739428556583,11.71934619428037,0.0050779593904776744,18.280653805719627,0.000206386043199391,0.206386043199391,3.2820260111122566,3282.0260111122566,15.344535990626868,15344.535990626868,2.641013005556128,2641.013005556128,8.798307953663941e-05,316.7390863319019,1.8158479654064313e-08,0.06537052675463152,5.810094822837009,5e-05,0.390644873142679,39.0644873142679,0.9998968069784003,99.98968069784003,0.010319302159966792,169675.36136908885,1.6967536136908885,1301794.8446253017,13.017948446253017,17.509313230696527,0.00017509313230696527,278439.4747291107,2.784394747291107,2.2405741804909973,1398675.0,13.98675,96897.66468792898,0.9689766468792897,0.0,11.655625,14.56953125,1.2432034183878504,0.0,0.0,0.0,0.0,True,`gtol` termination condition is satisfied.,7
0.008333333333333333,30.0,1600000.0,16.0,232.06038036833476,2.0,2000.0,298.15,25.0,0.0033632692223158145,12.107769200336932,0.004970064111017519,17.892230799663068,0.00021461781438804114,0.21461781438804114,3.3532655669837954,3353.2655669837955,16.485410496203887,16485.410496203887,2.6766327834918977,2676.6327834918975,9.089916817069769e-05,327.23700541451166,1.9508580802486133e-08,0.07023089088895008,6.159010902757176,5e-05,0.40359230667789775,40.359230667789774,0.999892691092806,99.9892691092806,0.010730890719401476,169675.36136908885,1.6967536136908885,1398583.9916305826,13.985839916305826,18.20767760626746,0.0001820767760626746,284483.27342224907,2.8448327342224906,2.2707931739566893,1498675.0,14.98675,100109.21604702366,1.0010921604702365,0.0,12.488958333333334,15.611197916666667,1.2893537742883505,0.0,0.0,0.0,0.0,True,`gtol` termination condition is satisfied.,7
0.008333333333333333,30.0,1700000.0,17.0,246.5641541413557,2.0,2000.0,298.15,25.0,0.0034636209310691126,12.469035351848806,0.00486971240226422,17.530964648151194,0.00022285554173650073,0.22285554173650074,3.4223570927512545,3422.3570927512546,17.628931682679532,17628.931682679533,2.7111785463756273,2711.1785463756273,9.361137651538142e-05,337.0009554553731,2.086181402603487e-08,0.07510253049372553,6.502313064643543,5e-05,0.4156345117282935,41.56345117282935,0.9998885722291317,99.98885722291317,0.01114277708682554,169675.36136908885,1.6967536136908885,1495597.6769048148,14.955976769048148,18.906547288622413,0.00018906547288622414,290344.8382233167,2.903448382233167,2.3001009979620277,1598675.0,15.98675,103096.22964247386,1.0309622964247387,0.0,13.322291666666667,16.652864583333333,1.335537522625131,0.0,0.0,0.0,0.0,True,`gtol` termination condition is satisfied.,6
0.008333333333333333,30.0,1800000.0,18.0,261.0679279143766,2.0,2000.0,298.15,25.0,0.003557353398003527,12.806472232812697,0.004775979935329806,17.1935277671873,0.0002310870872810871,0.2310870872810871,3.4895131122615632,3489.513112261563,18.774775235512404,18774.775235512403,2.7447565561307816,2744.7565561307815,9.614468643252776e-05,346.12087115709994,2.221779554524629e-08,0.07998406396288665,6.840233314527086,5e-05,0.42688240776042324,42.68824077604233,0.9998844564563595,99.98844564563595,0.011554354364051722,169675.36136908885,1.6967536136908885,1592808.3863544937,15.928083863544936,19.604892521074316,0.00019604892521074316,296042.19916257734,2.9604219916257732,2.3285878026583315,1698675.0,16.98675,105886.21853802749,1.0588621853802749,0.0,14.155625,17.69453125,1.3816866134815127,0.0,0.0,0.0,0.0,True,`gtol` termination condition is satisfied.,6
0.008333333333333333,30.0,1900000.0,19.0,275.57170168739754,2.0,2000.0,298.15,25.0,0.00364523377015187,13.122841572546733,0.004688099563181463,16.877158427453267,0.00023930417311113198,0.23930417311113197,3.5549147628818005,3554.9147628818005,19.922671991550466,19922.671991550465,2.7774573814409003,2777.4573814409005,9.851983162572622e-05,354.6713938526144,2.3576206842242365e-08,0.08487434463207251,7.1729892687731915,5e-05,0.4374280524182244,43.74280524182244,0.9998803479134445,99.98803479134445,0.011965208655551063,169675.36136908885,1.6967536136908885,1690193.2848020752,16.901932848020753,20.302011024881157,0.00020302011024881156,301590.7235141391,3.015907235141391,2.35633042441614,1798675.0,17.98675,108502.01720894966,1.0850201720894965,0.0,14.988958333333334,18.73619791666667,1.427754637826551,0.0,0.0,0.0,0.0,True,`gtol` termination condition is satisfied.,6
