strategy_name,mode,p1_bar,p2_bar,initial_recovery_pct,recovery_24h_pct,recovery_72h_pct,recovery_168h_pct,initial_sec_kwh_m3,sec_24h_kwh_m3,sec_72h_kwh_m3,sec_168h_kwh_m3,initial_flux_lmh,final_flux_168h_lmh,permeability_decline_168h_pct,total_cumulative_permeate_m3,total_cumulative_electricity_kwh,dynamic_average_sec_kwh_m3,specific_cumulative_volume_l_m2,time_to_5pct_decline_hours,time_to_10pct_decline_hours,time_to_15pct_decline_hours,max_water_error_pct,max_solute_error_pct
Authoritative Baseline,MODE_A_FIXED_PRESSURE,13.0,18.0,65.45429789069381,51.51722690507343,40.48708227731731,31.596248959995147,0.8243960173252987,1.0774589794397194,1.3988640325772947,1.8203129195076542,35.38070156253719,17.07905349188927,43.86825851302226,2082.724541945583,2849.488365251768,1.3681542171630197,3752.6568323343836,5.108336580847531,11.793096834415586,20.566519717788257,4.163336342344337e-14,1.0199256105694112e-13
Strategy A (Max Recovery),MODE_A_FIXED_PRESSURE,20.0,20.25,84.35334535399878,65.54670557341093,50.71318749972076,39.55009102163819,0.7937806187672916,1.027682238621021,1.333051971967952,1.713641317995355,45.59640289405339,21.37842757926389,55.17431384297253,2626.1674924403383,3405.7419175585214,1.2968487072367847,4731.833319712321,2.6157935861942514,5.8526379355514715,9.981263669685042,6.245004513516506e-14,8.15940488455529e-14
Strategy B (Min Energy),MODE_A_FIXED_PRESSURE,15.8,15.8,68.34019356837709,56.30718966981878,45.179666798453326,35.63937773527055,0.7640619719508248,0.9298049444789804,1.1613765726925405,1.474928686523564,36.94064517209573,19.26452850555165,48.87696763856446,2307.689058997418,2644.111904741649,1.1457834383850616,4157.998304499853,4.653235414544776,10.405192227743917,17.592539846832395,4.163336342344337e-14,1.2239107326832936e-13
Strategy C (Min Stress),MODE_A_FIXED_PRESSURE,10.0,14.0,48.37652615001182,41.31842911206307,33.95092218198326,27.040334022406736,0.8858996026070198,1.0514925697220274,1.2971808101721418,1.6488402901242147,26.14947359460098,14.616396768868505,36.74314980648445,1721.2575490546233,2218.6067035593696,1.2889452277364932,3101.3649532515738,9.064972076502979,20.555067349671674,35.184702348156016,4.163336342344337e-14,1.0199256105694112e-13
Strategy D (Balanced Knee),MODE_A_FIXED_PRESSURE,16.06,16.41,70.15815788579322,57.14224491103811,45.559663908634754,35.84205654037419,0.7664744570598155,0.9457213511719144,1.1908063263570254,1.5184002535915757,37.923328586915254,19.374084616418482,49.34421022762354,2332.101587693782,2733.514174922849,1.1721248291014734,4201.9848426915,4.385210797297005,9.83365421588797,16.685482601156497,4.163336342344337e-14,1.0199256105694112e-13
