strategy_name,stage_index,element_index,global_element_id,r_f_m_inv,permeability_decline_pct,specific_cumulative_volume_l_m2,local_flux_lmh,local_polarization_modulus,local_feed_tds_mg_l,local_surface_tds_mg_l
Authoritative Baseline,1,1,Stage1_Vessel1_Elem1,64097706756270.08,36.86838355473871,3466.8594020793726,15.357817702070639,1.0886633232749692,2041.0,2288.583250859381
Authoritative Baseline,1,1,Stage1_Vessel2_Elem1,64097706756270.08,36.86838355473871,3466.8594020793726,15.357817702070639,1.0886633232749692,2041.0,2288.583250859381
Authoritative Baseline,1,1,Stage1_Vessel3_Elem1,64097706756270.08,36.86838355473871,3466.8594020793726,15.357817702070639,1.0886633232749692,2041.0,2288.583250859381
Authoritative Baseline,1,2,Stage1_Vessel1_Elem2,67077712231405.086,37.93226820242126,3351.9735559845103,14.952818838864099,1.0862170954210228,2163.3912051243833,2422.7781938294306
Authoritative Baseline,1,2,Stage1_Vessel2_Elem2,67077712231405.086,37.93226820242126,3351.9735559845103,14.952818838864099,1.0862170954210228,2163.3912051243833,2422.7781938294306
Authoritative Baseline,1,2,Stage1_Vessel3_Elem2,67077712231405.086,37.93226820242126,3351.9735559845103,14.952818838864099,1.0862170954210228,2163.3912051243833,2422.7781938294306
Authoritative Baseline,1,3,Stage1_Vessel1_Elem3,70206382399082.125,39.01131339113798,3227.0030176396876,14.531400976269607,1.083677532497199,2297.555329491425,2569.662634500416
Authoritative Baseline,1,3,Stage1_Vessel2_Elem3,70206382399082.125,39.01131339113798,3227.0030176396876,14.531400976269607,1.083677532497199,2297.555329491425,2569.662634500416
Authoritative Baseline,1,3,Stage1_Vessel3_Elem3,70206382399082.125,39.01131339113798,3227.0030176396876,14.531400976269607,1.083677532497199,2297.555329491425,2569.662634500416
Authoritative Baseline,2,1,Stage2_Vessel1_Elem1,134528200404870.67,55.06996413548282,4933.296285149155,22.300774493438297,1.1314667330353938,2444.9304330009486,2863.691952197238
Authoritative Baseline,2,1,Stage2_Vessel2_Elem1,134528200404870.67,55.06996413548282,4933.296285149155,22.300774493438297,1.1314667330353938,2444.9304330009486,2863.691952197238
Authoritative Baseline,2,2,Stage2_Vessel1_Elem2,143746893311501.97,56.70384410163325,4762.3019997394895,21.811785680589413,1.1283977754288463,2616.9805690393705,3062.148946487403
Authoritative Baseline,2,2,Stage2_Vessel2_Elem2,143746893311501.97,56.70384410163325,4762.3019997394895,21.811785680589413,1.1283977754288463,2616.9805690393705,3062.148946487403
Authoritative Baseline,2,3,Stage2_Vessel1_Elem3,153457828150247.25,58.30118916672946,4562.746245486984,21.29093507150353,1.1251380040050643,2810.447618372,3285.1316874563026
