simulation_id,sampling_method,random_seed,model_version,parameter_set,topology,timestamp,feed_flow_m3h,feed_tds_mgL,feed_cod_mgL,feed_pH,temperature_C,stage1_pressure_bar,stage2_pressure_bar,feasible,failure_reason,failure_message,quality_flag,overall_recovery_pct,permeate_flow_m3h,concentrate_flow_m3h,permeate_tds_mgL,concentrate_tds_mgL,overall_tds_rejection_pct,stage1_recovery_pct,stage2_recovery_pct,average_flux_LMH,minimum_flux_LMH,maximum_flux_LMH,maximum_element_recovery_pct,maximum_polarization_modulus,feed_osmotic_pressure_bar,final_concentrate_osmotic_pressure_bar,stage1_pump_power_kW,stage2_booster_power_kW,total_power_kW,SEC_kWh_m3,water_balance_error,solute_balance_error,flux_decline_stage1_pct,flux_decline_stage2_pct,max_element_concentrate_tds_mgL,max_element_osmotic_pressure_bar,dataset_split,ood_classification
SIM_00001,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:22:01.192852+00:00,43.3808,3283.46,126.04,8.91,36.6,13.683,19.789,1,NONE,,PASS,44.89386641652213,19.475318402418637,23.905481597581367,9.480057821355468,5950.7060689314185,99.71127841297424,22.418480407602868,28.970025499631767,35.09066378814168,27.68166382300576,46.30355601705992,11.368923277904706,1.292833118104799,2.893841394653045,5.24458941168366,19.084162875,7.661296948936671,26.745459823936667,1.3733002599133453,0.0,0.0,9.813960189922827,10.507891020389868,5950.7060689314185,5.24458941168366,ood,OOD_ENGINEERING_ACCEPTABLE
SIM_00002,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:22:01.192852+00:00,44.4395,3269.04,123.56,9.3,37.93,18.381,25.641,1,NONE,,PASS,60.730247787429306,26.988218465494647,17.451281534505352,8.569723771087045,8311.322077744944,99.73785197577617,32.31942677221086,41.977807900056575,48.627420658548914,40.78750442914605,61.29619289106702,18.102187583322443,1.4051023852719589,2.893503450436905,7.356544768386873,26.7991016015625,8.051839003403934,34.85094060496644,1.2913390578012605,0.0,2.4980018054066022e-14,10.088188555803454,14.960467627924286,8311.322077744944,7.356544768386873,ood,OOD_ENGINEERING_ACCEPTABLE
SIM_00003,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:22:01.192852+00:00,42.1666,3277.14,123.72,8.87,37.01,14.706,16.454,1,NONE,,PASS,43.11379437759313,18.179621220022185,23.98697877997783,10.067496318080696,5753.2392686942185,99.69279626997684,25.432181632440592,23.712122913394616,32.75607427031024,30.471223297667017,35.50628088473048,9.712286844286176,1.217578157059333,2.8920943869633216,5.077265846392743,20.04780250520833,2.399690441392577,22.44749294660091,1.2347613118516625,1.2490009027033011e-14,4.9960036108132044e-14,10.076281600593688,10.966718032247204,5753.2392686942185,5.077265846392743,ood,OOD_ENGINEERING_ACCEPTABLE
SIM_00004,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:22:01.192852+00:00,44.7244,3234.42,144.15,6.12,36.63,19.253,29.33,1,NONE,,PASS,66.79901620716927,29.875459204559213,14.848940795440786,8.408432520563892,9725.022818435382,99.7400327563964,34.161980037393015,49.57171583883085,53.82965622443102,43.37448939584851,71.74582072221511,22.77620008092213,1.4890678529597672,2.8508966186254376,8.571872134457692,28.325065100694445,10.76300196199459,39.08806706268904,1.308367071282503,0.0,7.494005416219808e-14,10.121489397785773,17.51077007691066,9725.022818435382,8.571872134457692,ood,OOD_ENGINEERING_ACCEPTABLE
SIM_00005,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:22:01.192852+00:00,42.9305,3258.74,140.15,6.89,37.1,17.889,24.406,1,NONE,,PASS,60.00022006854216,25.758394476525496,17.172105523474514,8.787371223849266,8133.713644181227,99.73034451279176,32.31996138003311,40.89870403877525,46.41152157932522,39.347476702111294,57.71421322333652,17.449863806080984,1.3774235224753255,2.8766907793183387,7.180130676835802,25.15570782552083,7.028778658051476,32.18448648357231,1.249475642315484,6.2450045135165055e-15,4.9960036108132044e-14,10.325813671092494,15.00697299128043,8133.713644181227,7.180130676835802,ood,OOD_ENGINEERING_ACCEPTABLE
SIM_00006,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:22:01.192852+00:00,44.003,3320.72,144.62,6.79,36.34,15.542,18.094,1,NONE,,PASS,45.38863811533111,19.972362429889145,24.030637570110866,9.604377295117072,6072.657025016058,99.71077425091194,26.21114748240565,25.98968540451653,35.98623861241288,32.820330356562245,40.18332049951346,10.088114209353527,1.2496230107635529,2.924223470213355,5.347577091446422,22.198214800347223,3.384474476996453,25.582689277343675,1.2809045182886594,0.0,2.4980018054066022e-14,9.818290685982245,10.97889151760863,6072.657025016058,5.347577091446422,ood,OOD_ENGINEERING_ACCEPTABLE
SIM_00007,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:22:01.192852+00:00,43.5226,3453.16,113.78,8.76,36.58,19.132,28.577,1,NONE,,PASS,65.83317095765479,28.65230766321626,14.870292336783743,9.155681583323384,10089.120416233687,99.73486077727868,34.092031400929,48.15979043416183,51.62577957336263,41.949117035985765,68.161585812597,21.72407165971512,1.4597169380131505,3.043208117949905,8.891361290428616,27.38108016493056,9.855441144206084,37.23652130913664,1.2995993812024005,6.2450045135165055e-15,4.9960036108132044e-14,10.80891138846646,18.17969379234134,10089.120416233687,8.891361290428616,ood,OOD_ENGINEERING_ACCEPTABLE
SIM_00008,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:22:01.192852+00:00,44.3915,3337.1,145.61,9.35,37.56,12.079,21.345,1,NONE,,PASS,42.74646552003989,18.975797241328507,25.415702758671493,9.539600162966709,5821.513358746807,99.71413502253552,18.159278734026504,30.04272983629712,34.19062566005136,22.93626751612126,51.63567216684677,11.94347344826046,1.3316949132175746,2.9502317437901207,5.1466283623125095,17.056431983506943,12.25643839771192,29.312870381218865,1.544750400124251,0.0,2.4980018054066022e-14,9.918114084180385,9.782733108375655,5821.513358746807,5.1466283623125095,ood,OOD_ENGINEERING_ACCEPTABLE
SIM_00009,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:22:01.192852+00:00,44.6853,3250.93,119.62,8.7,36.25,18.439,25.199,1,NONE,,PASS,60.182907740660205,26.892912872637236,17.792387127362762,8.509126785511985,8151.798074395496,99.73825561345488,32.386480011564764,41.11075378689026,48.45569886961663,41.12549139397042,60.19472351920703,17.614179221248403,1.3965323544523889,2.861933954720552,7.176379590190526,27.037321752604168,7.563816792489511,34.60113854509368,1.2866266554672603,6.2450045135165055e-15,4.9960036108132044e-14,9.97590279271991,14.600758425293664,8151.798074395496,7.176379590190526,ood,OOD_ENGINEERING_ACCEPTABLE
SIM_00010,latin_hypercube_ood,101,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:22:01.192852+00:00,44.638,3402.65,136.24,9.53,37.92,13.788,17.363,1,NONE,,PASS,39.89976101165189,17.81045532038117,26.82754467961882,10.265082918890531,5654.809887039896,99.69832092872052,21.707247820028044,23.236522775192043,32.09091048717328,27.58135331849639,38.475128013019685,8.720447387799531,1.2378226886723425,3.0116679572362552,5.005043052050849,19.79997536458333,4.884270237511663,24.684245602095,1.3859413000996046,6.2450045135165055e-15,2.4980018054066022e-14,9.813108309956554,9.980955868825378,5654.809887039896,5.005043052050849,ood,OOD_ENGINEERING_ACCEPTABLE
