simulation_id,sampling_method,random_seed,model_version,parameter_set,topology,timestamp,feed_flow_m3h,feed_tds_mgL,feed_cod_mgL,feed_pH,temperature_C,stage1_pressure_bar,stage2_pressure_bar,feasible,failure_reason,failure_message,quality_flag,overall_recovery_pct,permeate_flow_m3h,concentrate_flow_m3h,permeate_tds_mgL,concentrate_tds_mgL,overall_tds_rejection_pct,stage1_recovery_pct,stage2_recovery_pct,average_flux_LMH,minimum_flux_LMH,maximum_flux_LMH,maximum_element_recovery_pct,maximum_polarization_modulus,feed_osmotic_pressure_bar,final_concentrate_osmotic_pressure_bar,stage1_pump_power_kW,stage2_booster_power_kW,total_power_kW,SEC_kWh_m3,water_balance_error,solute_balance_error,flux_decline_stage1_pct,flux_decline_stage2_pct,max_element_concentrate_tds_mgL,max_element_osmotic_pressure_bar,dataset_split,operating_classification
SIM_00001,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,20.4329,1677.77,46.44,8.42,25.61,12.852,25.996,1,NONE,,PASS,94.37875197315591,19.28431601192297,1.148583988077024,14.457246734207729,29604.19862307445,99.13830580269,50.99102970466976,88.53016500250833,34.746515336798154,12.903040285979138,64.2488209683617,60.007747571052185,1.4283357344774597,1.426220107346845,25.165608717594523,8.399305377604165,4.7267253194689145,13.12603069707308,0.6806583489379456,0.0,6.2450045135165055e-15,14.049136333956096,79.91707849030719,29604.19862307445,25.165608717594523,boundary_stress,BOUNDARY_STRESS
SIM_00002,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,38.4609,1803.86,25.82,6.54,29.29,18.557,24.893,1,NONE,,PASS,77.64657333493788,29.863570923777125,8.597329076222877,5.586006267832615,8050.321252800872,99.69033038773338,43.05126360574932,60.74816039760482,53.808235898697525,47.51456531568245,65.73013923218267,31.43872305334793,1.4401360818123312,1.5522931369944124,6.927621007906963,23.42876438802083,5.160893563473652,28.589657951494484,0.957342242308057,0.0,1.2490009027033011e-14,8.208396908530407,18.94995156593554,8050.321252800872,6.927621007906963,boundary_stress,BOUNDARY_STRESS
SIM_00004,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,31.1786,1678.21,25.09,9.45,25.58,15.015,21.749,1,NONE,,PASS,78.41893572460934,24.449926293833048,6.728673706166951,6.025862855043249,7754.411743211202,99.64093511211092,41.65319507024422,63.01243178375869,44.05392125014964,37.094500426650725,57.14821775192645,33.226062708356515,1.3731000874663015,1.426450886145154,6.591122387924043,15.158158421875,4.537822721056193,19.695981142931192,0.8055640293647456,0.0,6.2450045135165055e-15,9.023512127311516,20.82884998409434,7754.411743211202,6.591122387924043,boundary_stress,BOUNDARY_STRESS
SIM_00005,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,22.9554,2485.9,73.33,8.51,34.95,12.359,24.101,1,NONE,,PASS,83.88656398875371,19.256496309874368,3.698903690125632,11.846861247542758,15365.823114516588,99.52343773894594,38.91616236150213,73.62078639098004,34.69638974752139,24.58546264008109,57.90608406277565,39.92926386605495,1.37889224153626,2.179249887918869,13.470360151289857,9.043271859375,5.935996622296678,14.979268481671678,0.7778813051256158,0.0,3.7470027081099033e-14,15.054751542094186,42.62199328726338,15365.823114516588,13.470360151289857,boundary_stress,BOUNDARY_STRESS
SIM_00006,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,32.9752,1620.86,37.41,7.35,34.71,10.527,25.786,1,NONE,,PASS,71.4467511424643,23.559709082729885,9.41549091727012,5.021623205637731,5664.056729355783,99.69018772715484,25.42414117808794,61.71247732363207,42.449926275188986,24.066316855751936,72.94070459965491,33.12140064614854,1.4989831941779383,1.4198107152709272,4.961494784399481,10.892979479166666,13.413488883326448,24.306468362493117,1.0316964558917507,0.0,1.2490009027033011e-14,8.346578764085827,13.610130134377457,5664.056729355783,4.961494784399481,boundary_stress,BOUNDARY_STRESS
SIM_00008,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,30.0594,2606.34,72.34,8.28,20.77,10.997,27.905,1,NONE,,PASS,74.74589792170431,22.468168439876788,7.591231560123205,8.752874840941393,10294.555621284751,99.66416987649572,25.92239193532036,65.90858865712096,40.483186378156375,21.972550842673403,73.72180805753207,35.79388755714972,1.5055005721737733,2.179675727029089,8.609311528144922,10.420331067708334,13.420677940061116,23.84100900776945,1.0611015789545235,1.2490009027033011e-14,1.2490009027033011e-14,11.361126344704694,22.4258481462452,10294.555621284751,8.609311528144922,boundary_stress,BOUNDARY_STRESS
SIM_00009,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,24.1702,1913.83,58.9,8.33,21.24,18.207,20.858,1,NONE,,PASS,90.449813176177,21.861900744308333,2.308299255691668,12.537622120805034,19920.968870150515,99.34489363627884,63.55474485004317,73.79580199252818,39.39081215190691,14.70296777746416,49.96422357220767,39.65927302511094,1.3193889231417852,1.603090687443197,16.686497588910257,14.429735286458335,0.9484851103420244,15.37822039680036,0.7034255885003057,0.0,6.2450045135165055e-15,16.657481423262617,65.78902183052129,19920.968870150515,16.686497588910257,boundary_stress,BOUNDARY_STRESS
SIM_00014,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,31.3852,1720.97,31.67,9.26,23.3,10.875,25.166,1,NONE,,PASS,73.82660682041994,23.17062820380244,8.214571796197555,5.606722891085651,6559.450411936368,99.6742114684692,27.67251520109097,63.81265952721912,41.74887964649088,24.87699666014536,70.3214628694998,34.81354033516853,1.4773339399762768,1.451631668460033,5.53287154666266,10.74697903125,11.618838674131911,22.365817705381914,0.9652659180691332,6.2450045135165055e-15,1.2490009027033011e-14,8.705930169445256,15.694460992016989,6559.450411936368,5.53287154666266,boundary_stress,BOUNDARY_STRESS
SIM_00015,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,22.5155,1920.61,30.51,8.17,20.53,16.666,26.162,1,NONE,,PASS,93.69498175402283,21.095893616827013,1.4196063831729857,16.26294150046337,30219.93538471005,99.1532408192989,61.35132925219304,83.68632575459296,38.01061912941804,8.631428693058787,56.92366322517245,54.15323157327057,1.3713885583485288,1.604889874101392,25.25222106253717,12.23713516059028,3.0051913119189138,15.242326472509191,0.7225257554556136,3.1225022567582528e-15,1.873501354054952e-14,16.7919107708932,84.8368355021083,30219.93538471005,25.25222106253717,boundary_stress,BOUNDARY_STRESS
SIM_00016,latin_hypercube,42,2.0.0,manufacturer_reconciled,concentrate_staging_3x2,2026-09-08T13:20:41.404130+00:00,22.5451,2863.97,86.39,8.55,32.32,11.601,22.825,1,NONE,,PASS,78.1981663351725,17.629854798430976,4.9152452015690224,12.811112600763412,13090.421607349928,99.55267993027988,34.478118543724044,66.72587358564132,31.76550414131708,21.253244309368203,53.425720780929495,33.948808260733394,1.345001386577095,2.489251107398108,11.377684292225103,8.288259809895834,5.987778504493943,14.276038314389776,0.8097649400754178,6.2450045135165055e-15,1.2490009027033011e-14,16.138610160258068,36.09910313127657,13090.421607349928,11.377684292225103,boundary_stress,BOUNDARY_STRESS
