feed_tds_mgL,strategy_name,p1_bar,p2_bar,initial_recovery_pct,final_recovery_pct,permeability_decline_pct,total_cumulative_permeate_m3,total_cumulative_electricity_kwh,dynamic_average_sec_kwh_m3,time_to_15pct_decline_hours
1500.0,Authoritative Baseline,13.0,18.0,69.94305710057331,35.25717919772479,40.07362957437436,2285.2809262799715,2829.0489243323864,1.2379436120081622,25.08731047490139
1500.0,Strategy A (Max Recovery),20.0,20.25,88.96313875996029,43.36498634178378,50.95762099779402,2828.5528153968985,3402.905029213255,1.2030551491525763,11.797018026428455
1500.0,Strategy B (Min Energy),15.8,15.8,73.07376391044914,39.39311675310661,44.78202678536183,2512.327933498745,2642.2560543739937,1.0517162266688278,21.246837624890617
1500.0,Strategy C (Min Stress),10.0,14.0,52.26449072451979,30.490239568017095,33.30344584207665,1909.6347596221422,2202.908864203983,1.1535760192382918,42.71941621968454
1500.0,Strategy D (Balanced Knee),16.06,16.41,74.94012109887245,39.60537648044898,45.241391858603805,2537.2255429387237,2730.2244368029505,1.0760669048131555,20.146661108064162
2041.0,Authoritative Baseline,13.0,18.0,65.45429789069381,31.596248959995147,43.86825851302226,2082.724541945583,2849.488365251768,1.3681542171630197,20.566519717788257
2041.0,Strategy A (Max Recovery),20.0,20.25,84.35334535399878,39.55009102163819,55.17431384297253,2626.1674924403383,3405.7419175585214,1.2968487072367847,9.981263669685042
2041.0,Strategy B (Min Energy),15.8,15.8,68.34019356837709,35.63937773527055,48.87696763856446,2307.689058997418,2644.111904741649,1.1457834383850616,17.592539846832395
2041.0,Strategy C (Min Stress),10.0,14.0,48.37652615001182,27.040334022406736,36.74314980648445,1721.2575490546233,2218.6067035593696,1.2889452277364932,35.184702348156016
2041.0,Strategy D (Balanced Knee),16.06,16.41,70.15815788579322,35.84205654037419,49.34421022762354,2332.101587693782,2733.514174922849,1.1721248291014734,16.685482601156497
3000.0,Authoritative Baseline,13.0,18.0,58.42850265554029,27.027951166004698,48.10705370938737,1815.2557852643913,2877.04397154229,1.5849248325757295,16.886469641900405
3000.0,Strategy A (Max Recovery),20.0,20.25,76.97425090058087,34.80690085733498,59.91910427636977,2358.0555651978457,3409.5184144386253,1.4459024904922289,8.49996420649546
3000.0,Strategy B (Min Energy),15.8,15.8,61.00764229715347,30.95350249397787,53.4505565344715,2035.8825121051425,2646.5887118032333,1.2999712390410036,14.627976833690948
3000.0,Strategy C (Min Stress),10.0,14.0,42.12516842171175,22.634758668836323,40.33963622161543,1464.591546295144,2240.523083304862,1.5297938110953377,29.277450641043558
3000.0,Strategy D (Balanced Knee),16.06,16.41,62.76698512480562,31.149300817696158,53.940545701562016,2060.198770112973,2737.9001395316,1.3289495068388304,13.872000792304897
