overall_recovery_pct,permeate_tds_mgL,concentrate_tds_mgL,average_flux_LMH,SEC_kWh_m3,maximum_element_recovery_pct,maximum_polarization_modulus,permeate_flow_m3h,concentrate_flow_m3h,diagnostic_concentrate_tds_mgL,concentrate_tds_discrepancy_pct,solute_balance_error_kg_s,stage1_pressure_bar,stage2_pressure_bar,feed_flow_m3h,feed_tds_mgL,temperature_C,seed
48.60525883965066,7.704313407877617,3963.9372677646843,26.35844287696799,0.8860313716997273,12.637822905624883,1.2075808328878417,14.581577651895198,15.418422348104802,3920.2393105317333,1.102387709016214,0.0,10.006,14.001,30.0,2041.0,25.0,999
48.605258839650666,7.704313407877617,3963.9372677646847,26.35844287696799,0.8860313716997272,12.637822905624883,1.2075808328878417,14.5815776518952,15.4184223481048,3920.2393105317333,1.1023877090162255,0.0,10.006000000000002,14.001,30.0,2041.0,25.0,2024
48.60525883965078,7.7043134078776125,3963.9372677646934,26.358442876968056,0.8860313716997256,12.637822905624901,1.2075808328878417,14.581577651895234,15.418422348104766,3920.239310531743,1.1023877090162,0.0,10.006000000000043,14.001000000000003,30.0,2041.0,25.0,42
48.605258839651114,7.704313407877601,3963.9372677647193,26.35844287696824,0.8860313716997211,12.637822905624969,1.207580832887842,14.581577651895335,15.418422348104665,3920.2393105317697,1.10238770901617,0.0,10.006000000000151,14.001000000000026,30.0,2041.0,25.0,101
48.605258840029606,7.704313407861918,3963.937267793869,26.35844287717315,0.886031371695872,12.637822905727463,1.2075808328884852,14.581577652008882,15.418422347991118,3920.239310561569,1.102387708991681,0.0,10.006000000104947,14.001000000047904,30.0,2041.0,25.0,777
48.605816313576014,7.704275887332881,3963.9802166019467,26.358726797826485,0.886035079956347,12.638208162193472,1.2075862508505821,14.581744894072804,15.418255105927196,3920.2814985121677,1.1023949591564566,0.0,10.006000000000157,14.001265658043973,30.0,2041.0,25.0,101
48.607268605141456,7.704178141468541,3964.092108248541,26.359466448327154,0.8860447404437445,12.639211805305955,1.2076003653431906,14.582180581542437,15.417819418457563,3920.3914036491788,1.1024139552264505,0.0,10.006,14.00195773155523,30.0,2041.0,25.0,999
48.607277558587235,7.704177538870496,3964.0927980854244,26.35947100831943,0.8860447999947274,12.63921799265363,1.2076004523566615,14.582183267576172,15.417816732423828,3920.392081220675,1.1024140727950609,0.0,10.006000000104947,14.001961998088287,30.0,2041.0,25.0,777
48.60839027572997,7.704102647908042,3964.1785315698226,26.360037713927092,0.8860522016759295,12.639986964362897,1.2076112666054442,14.58251708271899,15.41748291728101,3920.4762883669923,1.1024287340944774,0.0,10.006000000000043,14.002492251289995,30.0,2041.0,25.0,42
48.610774216961545,7.703942197760335,3964.3622238124062,26.36125185258046,0.8860680593967569,12.641634447729253,1.2076344355900224,14.583232265088464,15.416767734911536,3920.65669799955,1.1024604550596773,0.0,10.006000000000006,14.00362829216335,30.0,2041.0,25.0,2024
