strategy_name,mode,p1_initial_bar,p2_initial_bar,p1_final_bar,p2_final_bar,target_permeate_m3h,final_permeate_m3h,initial_sec_kwh_m3,final_sec_168h_kwh_m3,total_cumulative_permeate_m3,total_cumulative_electricity_kwh,dynamic_average_sec_kwh_m3,permeability_decline_168h_pct
Authoritative Baseline,MODE_B_MAINTAIN_PRODUCTION,13.0,18.0,40.0,41.0,20.807921279139958,16.841326782189686,0.7710267820516761,2.470787859214311,3393.2442054327844,5783.2021246093755,1.7043282989624287,64.3935123263669
Strategy A (Max Recovery),MODE_B_MAINTAIN_PRODUCTION,19.08,19.73,40.0,41.0,25.522879516310375,15.910570226997876,0.756050953962437,2.617150032869599,3567.0119070482783,6484.138672540701,1.8178068482833747,70.41866023469477
Strategy B (Min Energy),MODE_B_MAINTAIN_PRODUCTION,15.3,15.3,40.0,41.0,20.953469405404697,17.47140291273277,0.7224337472764203,2.3805522141597444,3508.9999979279996,5380.999091969928,1.53348506558772,67.11673512258186
Strategy C (Min Stress),MODE_B_MAINTAIN_PRODUCTION,10.0,14.0,22.487906550352367,31.483069170493366,15.50163210959398,15.50163266974252,0.8238917239458615,1.9087851667768536,2604.275315969699,3548.0056921267787,1.3623773455786423,51.54213716859887
Strategy D (Balanced Knee),MODE_B_MAINTAIN_PRODUCTION,15.05,15.8,40.0,41.0,21.0673461895266,17.18203736771591,0.7268977502499162,2.42117241442745,3498.119300385764,5525.612344470226,1.579595168141028,66.9231105647304
