strategy_name,mode,p1_bar,p2_bar,initial_recovery_pct,recovery_24h_pct,recovery_72h_pct,recovery_168h_pct,initial_sec_kwh_m3,sec_24h_kwh_m3,sec_72h_kwh_m3,sec_168h_kwh_m3,initial_flux_lmh,final_flux_168h_lmh,permeability_decline_168h_pct,total_cumulative_permeate_m3,total_cumulative_electricity_kwh,dynamic_average_sec_kwh_m3,specific_cumulative_volume_l_m2,time_to_5pct_decline_hours,time_to_10pct_decline_hours,time_to_15pct_decline_hours,max_water_error_pct,max_solute_error_pct
Authoritative Baseline,MODE_A_FIXED_PRESSURE,13.0,18.0,69.3597375971332,53.784985622165735,41.964706628301414,32.66176481030349,0.7710267820516761,1.0275717430801985,1.3460754261100423,1.757733974218983,37.49175005250443,17.655008005569453,45.439059350172315,2164.700592632868,2841.006244205086,1.31242456987996,3900.3614281673294,4.481285584186605,10.360481030159493,18.121796547086877,4.163336342344337e-14,1.0199256105694112e-13
Strategy A (Max Recovery),MODE_A_FIXED_PRESSURE,19.08,19.73,85.07626505436792,66.51601746956747,51.270717668858126,39.90695625434865,0.756050953962437,0.9768032498357856,1.2748878186798869,1.6447458737735272,45.98717029965833,21.571327705053328,55.72630941194473,2656.721641038772,3291.9190274806283,1.2390906810220041,4786.885839709498,2.5292901242571797,5.628784946486734,9.552281663590968,6.245004513516506e-14,1.0199256105694112e-13
Strategy B (Min Energy),MODE_A_FIXED_PRESSURE,15.3,15.3,69.84489801801566,57.56852127197264,46.09747822573322,36.310104817875356,0.7224337472764203,0.8790188647752365,1.1003786086963088,1.3996817758460482,37.75399892865711,19.62708368533803,49.78355385622574,2355.3221677720594,2556.08228828235,1.0852367982848787,4243.823725715422,4.416492942711815,9.853670034534147,16.638343094758113,4.163336342344337e-14,8.15940488455529e-14
Strategy C (Min Stress),MODE_A_FIXED_PRESSURE,10.0,14.0,51.67210703197994,43.566912631638225,35.470513767789576,28.102259202238418,0.8238917239458615,0.9929737428227821,1.2381893368112733,1.5835782123591156,27.9308686659351,15.190410379588336,38.33118281167048,1802.667240863416,2212.0290731488863,1.2270867429140166,3248.049082636786,8.076576447695121,18.354394810479643,31.49481331781059,4.163336342344337e-14,1.0199256105694112e-13
Strategy D (Balanced Knee),MODE_A_FIXED_PRESSURE,15.05,15.8,70.224487298422,57.243082816329924,45.58416817441407,35.816333518156746,0.7268977502499162,0.8987091178579807,1.1355459893529771,1.4523085639615374,37.95918232347135,19.360180280084727,49.32723008767166,2333.5297364077137,2607.5988394462297,1.1174483010704737,4204.558083617502,4.37121609801324,9.798903362840301,16.624165162945093,6.245004513516506e-14,8.15940488455529e-14
